Wavelength,n,k
750.0,2.6435171653181215,0.0
751.0,2.6420143781187786,0.0
752.0,2.640517582094105,0.0
753.0,2.639026745439614,0.0
754.0,2.6375418365615833,0.0
755.0,2.636062824075382,0.0
756.0,2.6345896768038135,0.0
757.0,2.6331223637754686,0.0
758.0,2.631660854223102,0.0
759.0,2.630205117582017,0.0
760.0,2.6287551234884687,0.0
761.0,2.627310841778079,0.0
762.0,2.6258722424842684,0.0
763.0,2.624439295836704,0.0
764.0,2.6230119722597562,0.0
765.0,2.6215902423709734,0.0
766.0,2.62017407697957,0.0
767.0,2.6187634470849295,0.0
768.0,2.6173583238751177,0.0
769.0,2.6159586787254123,0.0
770.0,2.614564483196845,0.0
771.0,2.6131757090347567,0.0
772.0,2.611792328167367,0.0
773.0,2.6104143127043544,0.0
774.0,2.6090416349354504,0.0
775.0,2.6076742673290476,0.0
776.0,2.606312182530819,0.0
777.0,2.6049553533623486,0.0
778.0,2.603603752819777,0.0
779.0,2.602257354072458,0.0
780.0,2.600916130461625,0.0
781.0,2.5995800554990733,0.0
782.0,2.598249102865853,0.0
783.0,2.59692324641097,0.0
784.0,2.595602460150104,0.0
785.0,2.5942867182643337,0.0
786.0,2.5929759950988767,0.0
787.0,2.591670265161837,0.0
788.0,2.590369503122967,0.0
789.0,2.5890736838124395,0.0
790.0,2.5877827822196267,0.0
791.0,2.586496773491898,0.0
792.0,2.585215632933421,0.0
793.0,2.5839393360039753,0.0
794.0,2.5826678583177807,0.0
795.0,2.5814011756423283,0.0
796.0,2.5801392638972285,0.0
797.0,2.5788820991530663,0.0
798.0,2.577629657630265,0.0
799.0,2.5763819156979646,0.0
800.0,2.575138849872905,0.0
801.0,2.573900436818321,0.0
802.0,2.572666653342849,0.0
803.0,2.5714374763994394,0.0
804.0,2.5702128830842796,0.0
805.0,2.5689928506357305,0.0
806.0,2.567777356433265,0.0
807.0,2.5665663779964216,0.0
808.0,2.565359892983764,0.0
809.0,2.564157879191852,0.0
810.0,2.5629603145542186,0.0
811.0,2.5617671771403567,0.0
812.0,2.560578445154718,0.0
813.0,2.559394096935714,0.0
814.0,2.5582141109547307,0.0
815.0,2.5570384658151526,0.0
816.0,2.555867140251388,0.0
817.0,2.5547001131279115,0.0
818.0,2.5535373634383083,0.0
819.0,2.5523788703043295,0.0
820.0,2.551224612974955,0.0
821.0,2.5500745708254646,0.0
822.0,2.5489287233565157,0.0
823.0,2.5477870501932305,0.0
824.0,2.5466495310842907,0.0
825.0,2.545516145901037,0.0
826.0,2.544386874636583,0.0
827.0,2.543261697404928,0.0
828.0,2.5421405944400837,0.0
829.0,2.541023546095206,0.0
830.0,2.5399105328417337,0.0
831.0,2.538801535268535,0.0
832.0,2.5376965340810624,0.0
833.0,2.536595510100511,0.0
834.0,2.535498444262988,0.0
835.0,2.534405317618689,0.0
836.0,2.533316111331076,0.0
837.0,2.532230806676069,0.0
838.0,2.5311493850412385,0.0
839.0,2.5300718279250116,0.0
840.0,2.528998116935876,0.0
841.0,2.5279282337915996,0.0
842.0,2.526862160318448,0.0
843.0,2.525799878450415,0.0
844.0,2.52474137022846,0.0
845.0,2.5236866177997426,0.0
846.0,2.522635603416875,0.0
847.0,2.5215883094371723,0.0
848.0,2.520544718321915,0.0
849.0,2.5195048126356125,0.0
850.0,2.5184685750452758,0.0
851.0,2.5174359883196944,0.0
852.0,2.516407035328721,0.0
853.0,2.515381699042561,0.0
854.0,2.514359962531066,0.0
855.0,2.513341808963039,0.0
856.0,2.5123272216055352,0.0
857.0,2.5113161838231806,0.0
858.0,2.510308679077486,0.0
859.0,2.5093046909261734,0.0
860.0,2.508304203022502,0.0
861.0,2.5073071991146065,0.0
862.0,2.5063136630448337,0.0
863.0,2.5053235787490906,0.0
864.0,2.5043369302561933,0.0
865.0,2.5033537016872236,0.0
866.0,2.50237387725489,0.0
867.0,2.5013974412628937,0.0
868.0,2.5004243781053006,0.0
869.0,2.4994546722659177,0.0
870.0,2.498488308317673,0.0
871.0,2.497525270922005,0.0
872.0,2.4965655448282504,0.0
873.0,2.4956091148730435,0.0
874.0,2.4946559659797156,0.0
875.0,2.4937060831577,0.0
876.0,2.492759451501945,0.0
877.0,2.491816056192328,0.0
878.0,2.490875882493074,0.0
879.0,2.489938915752184,0.0
880.0,2.4890051414008583,0.0
881.0,2.4880745449529362,0.0
882.0,2.4871471120043305,0.0
883.0,2.4862228282324716,0.0
884.0,2.4853016793957536,0.0
885.0,2.484383651332987,0.0
886.0,2.4834687299628513,0.0
887.0,2.4825569012833606,0.0
888.0,2.481648151371322,0.0
889.0,2.480742466381808,0.0
890.0,2.4798398325476274,0.0
891.0,2.4789402361788033,0.0
892.0,2.478043663662052,0.0
893.0,2.4771501014602704,0.0
894.0,2.476259536112023,0.0
895.0,2.4753719542310373,0.0
896.0,2.474487342505697,0.0
897.0,2.473605687698548,0.0
898.0,2.4727269766457973,0.0
899.0,2.4718511962568277,0.0
900.0,2.4709783335137043,0.0
901.0,2.470108375470696,0.0
902.0,2.469241309253792,0.0
903.0,2.468377122060227,0.0
904.0,2.4675158011580085,0.0
905.0,2.4666573338854465,0.0
906.0,2.465801707650691,0.0
907.0,2.464948909931267,0.0
908.0,2.464098928273619,0.0
909.0,2.4632517502926548,0.0
910.0,2.462407363671294,0.0
911.0,2.4615657561600224,0.0
912.0,2.4607269155764455,0.0
913.0,2.4598908298048485,0.0
914.0,2.4590574867957598,0.0
915.0,2.4582268745655145,0.0
916.0,2.457398981195826,0.0
917.0,2.4565737948333566,0.0
918.0,2.4557513036892957,0.0
919.0,2.4549314960389355,0.0
920.0,2.454114360221255,0.0
921.0,2.453299884638506,0.0
922.0,2.4524880577558,0.0
923.0,2.4516788681007005,0.0
924.0,2.4508723042628175,0.0
925.0,2.4500683548934066,0.0
926.0,2.4492670087049673,0.0
927.0,2.448468254470848,0.0
928.0,2.4476720810248547,0.0
929.0,2.4468784772608565,0.0
930.0,2.446087432132403,0.0
931.0,2.445298934652336,0.0
932.0,2.4445129738924107,0.0
933.0,2.443729538982915,0.0
934.0,2.442948619112296,0.0
935.0,2.4421702035267843,0.0
936.0,2.441394281530026,0.0
937.0,2.4406208424827143,0.0
938.0,2.4398498758022242,0.0
939.0,2.4390813709622527,0.0
940.0,2.4383153174924557,0.0
941.0,2.437551704978096,0.0
942.0,2.436790523059685,0.0
943.0,2.436031761432635,0.0
944.0,2.435275409846908,0.0
945.0,2.434521458106669,0.0
946.0,2.4337698960699465,0.0
947.0,2.4330207136482866,0.0
948.0,2.4322739008064165,0.0
949.0,2.431529447561909,0.0
950.0,2.4307873439848486,0.0
951.0,2.4300475801974994,0.0
952.0,2.4293101463739775,0.0
953.0,2.4285750327399236,0.0
954.0,2.4278422295721813,0.0
955.0,2.4271117271984726,0.0
956.0,2.426383515997081,0.0
957.0,2.425657586396534,0.0
958.0,2.4249339288752885,0.0
959.0,2.424212533961418,0.0
960.0,2.423493392232304,0.0
961.0,2.422776494314327,0.0
962.0,2.4220618308825617,0.0
963.0,2.4213493926604737,0.0
964.0,2.420639170419619,0.0
965.0,2.4199311549793436,0.0
966.0,2.4192253372064885,0.0
967.0,2.4185217080150943,0.0
968.0,2.417820258366109,0.0
969.0,2.417120979267097,0.0
970.0,2.416423861771953,0.0
971.0,2.4157288969806126,0.0
972.0,2.415036076038772,0.0
973.0,2.414345390137602,0.0
974.0,2.413656830513472,0.0
975.0,2.4129703884476683,0.0
976.0,2.4122860552661214,0.0
977.0,2.411603822339129,0.0
