Frame_Index,Point_Count,Counts_Min,Counts_Median,Counts_Mean,Counts_Max,Saturated_65535_Count,Source,Used_For_Average
1,1340,624,1254.0,13751.255223880597,65535,77,Ag,False
2,1340,621,1170.5,11889.55671641791,61754,0,Ag,True
3,1340,627,1166.5,11885.572388059702,61608,0,Ag,True
4,1340,628,1167.0,11890.947014925374,61827,0,Ag,True
5,1340,631,1170.0,11887.646268656716,61738,0,Ag,True
6,1340,628,1168.0,11890.457462686567,61871,0,Ag,True
7,1340,629,1171.0,11890.3723880597,61902,0,Ag,True
8,1340,628,1171.5,11896.93432835821,61728,0,Ag,True
9,1340,625,1170.5,11888.813432835821,61750,0,Ag,True
10,1340,624,1176.0,11896.25671641791,61766,0,Ag,True
11,1340,629,1174.0,11894.135074626865,61888,0,Ag,True
12,1340,629,1169.5,11898.132835820896,61888,0,Ag,True
13,1340,631,1180.5,11895.482089552239,61657,0,Ag,True
14,1340,627,1194.0,11900.86343283582,61737,0,Ag,True
15,1340,631,1162.5,11900.076119402986,61729,0,Ag,True
16,1340,633,1161.0,11893.004477611941,61826,0,Ag,True
17,1340,631,1180.5,11897.380597014926,61921,0,Ag,True
18,1340,630,1174.0,11898.167164179105,61644,0,Ag,True
19,1340,631,1171.5,11897.929850746268,61723,0,Ag,True
20,1340,628,1168.0,11897.114179104477,61687,0,Ag,True
21,1340,634,1176.0,11900.129104477612,61759,0,Ag,True
22,1340,632,1175.0,11900.834328358209,61636,0,Ag,True
23,1340,629,1176.0,11898.038059701492,62003,0,Ag,True
24,1340,634,1168.5,11898.778358208956,61691,0,Ag,True
25,1340,625,1172.5,11901.150746268657,61773,0,Ag,True
26,1340,633,1178.5,11902.237313432835,61783,0,Ag,True
27,1340,635,1165.0,11901.754477611941,61687,0,Ag,True
28,1340,632,1176.5,11901.38656716418,61748,0,Ag,True
29,1340,635,1166.5,11899.971641791044,61714,0,Ag,True
30,1340,630,1175.0,11903.059701492537,61778,0,Ag,True
31,1340,635,1171.5,11900.476119402985,61631,0,Ag,True
32,1340,631,1170.0,11901.108208955224,61825,0,Ag,True
33,1340,629,1175.0,11902.38656716418,62043,0,Ag,True
34,1340,633,1171.5,11904.232089552239,61894,0,Ag,True
35,1340,633,1174.0,11903.790298507463,61756,0,Ag,True
36,1340,633,1181.5,11904.254477611941,61789,0,Ag,True
37,1340,626,1184.0,11901.712686567163,61940,0,Ag,True
38,1340,637,1176.0,11904.65671641791,61954,0,Ag,True
39,1340,630,1185.0,11906.637313432835,61934,0,Ag,True
40,1340,635,1171.0,11906.567164179105,61711,0,Ag,True
41,1340,638,1171.5,11904.365671641792,61624,0,Ag,True
42,1340,636,1179.5,11908.847014925374,61734,0,Ag,True
43,1340,631,1178.0,11905.059701492537,61820,0,Ag,True
44,1340,635,1181.5,11902.75671641791,62067,0,Ag,True
45,1340,636,1188.0,11904.24328358209,61813,0,Ag,True
46,1340,633,1183.0,11904.369402985074,61601,0,Ag,True
47,1340,636,1175.0,11906.524626865672,61932,0,Ag,True
48,1340,630,1171.5,11910.159701492537,61723,0,Ag,True
49,1340,637,1170.0,11908.000746268657,61709,0,Ag,True
50,1340,636,1179.0,11908.236567164178,61841,0,Ag,True
51,1340,632,1180.0,11909.02014925373,62018,0,Ag,True
52,1340,633,1184.0,11908.032089552238,61847,0,Ag,True
53,1340,636,1174.5,11907.023134328358,61898,0,Ag,True
54,1340,639,1175.0,11907.146268656716,61729,0,Ag,True
55,1340,637,1175.5,11905.72462686567,61797,0,Ag,True
56,1340,637,1179.5,11908.466417910447,61887,0,Ag,True
57,1340,632,1182.0,11904.985074626866,61719,0,Ag,True
58,1340,635,1176.5,11909.356716417911,61773,0,Ag,True
59,1340,635,1182.5,11908.516417910449,61764,0,Ag,True
60,1340,633,1178.5,11908.49328358209,61704,0,Ag,True
61,1340,632,1183.0,11908.74104477612,61824,0,Ag,True
62,1340,636,1178.0,11911.34776119403,61737,0,Ag,True
63,1340,630,1183.5,11905.16791044776,61691,0,Ag,True
64,1340,635,1177.0,11905.922388059702,61802,0,Ag,True
65,1340,635,1187.0,11904.951492537313,61791,0,Ag,True
66,1340,636,1183.0,11908.062686567164,61842,0,Ag,True
67,1340,636,1182.0,11907.905970149253,61832,0,Ag,True
68,1340,636,1174.0,11910.382089552239,61867,0,Ag,True
69,1340,636,1172.0,11909.174626865672,61692,0,Ag,True
70,1340,635,1186.0,11910.370149253731,61765,0,Ag,True
71,1340,639,1185.5,11908.90447761194,61697,0,Ag,True
72,1340,634,1178.5,11904.435820895522,61766,0,Ag,True
73,1340,634,1175.0,11909.761940298507,61792,0,Ag,True
74,1340,632,1182.0,11906.616417910447,61869,0,Ag,True
75,1340,637,1170.0,11906.108955223881,61764,0,Ag,True
76,1340,636,1185.0,11912.603731343284,61915,0,Ag,True
77,1340,632,1188.0,11907.467910447762,61844,0,Ag,True
78,1340,638,1183.5,11907.625373134328,61821,0,Ag,True
79,1340,636,1183.5,11912.266417910449,61705,0,Ag,True
80,1340,630,1177.0,11904.606716417911,61715,0,Ag,True
81,1340,635,1168.0,11908.776119402984,61711,0,Ag,True
82,1340,631,1183.0,11905.597014925374,61804,0,Ag,True
83,1340,633,1161.5,11906.600746268658,61686,0,Ag,True
84,1340,638,1180.0,11908.458955223881,61918,0,Ag,True
85,1340,640,1182.5,11908.835820895523,61683,0,Ag,True
86,1340,633,1171.5,11905.557462686567,61731,0,Ag,True
87,1340,630,1193.5,11907.958955223881,61725,0,Ag,True
88,1340,637,1164.0,11905.484328358209,61895,0,Ag,True
89,1340,632,1188.0,11908.017164179104,61902,0,Ag,True
90,1340,630,1177.0,11908.481343283582,61762,0,Ag,True
91,1340,638,1185.5,11911.74104477612,61855,0,Ag,True
92,1340,635,1178.0,11906.774626865672,61782,0,Ag,True
93,1340,634,1185.0,11910.635074626865,61635,0,Ag,True
94,1340,640,1173.5,11912.35223880597,61720,0,Ag,True
95,1340,632,1172.5,11908.170149253732,61709,0,Ag,True
96,1340,635,1174.0,11907.05,61828,0,Ag,True
97,1340,636,1183.0,11910.012686567165,61831,0,Ag,True
98,1340,636,1189.0,11908.725373134328,61807,0,Ag,True
99,1340,638,1174.5,11909.280597014926,61870,0,Ag,True
100,1340,637,1181.5,11910.658208955223,61763,0,Ag,True
