Band,Wavelength_Min_nm,Wavelength_Max_nm,Point_Count_Strict,Model,MAE,RMSE,Mean_Bias,Max_Abs_Error,Pearson_Correlation
450_500,450.0,500.0,58,fixed,0.20161912553391004,0.2094213663092997,0.20161912553391004,0.47711106452124213,-0.8612958399665519
450_500,450.0,500.0,58,best_d,0.201616852637595,0.20941926869985486,0.201616852637595,0.47710973086872893,-0.8612831113251009
500_650,500.0,650.0,354,fixed,0.15037145679065478,0.153559508945529,0.15037145679065478,0.2117108081564139,-0.8148005546025837
500_650,500.0,650.0,354,best_d,0.15067706343298432,0.1539132858511476,0.15067706343298432,0.21078445883515584,-0.8093502608747523
650_750,650.0,750.0,237,fixed,0.24764212606185962,0.24849458304855004,0.24764212606185962,0.28278964307991616,0.07373825161770037
650_750,650.0,750.0,237,best_d,0.23647915744881165,0.23681479162619806,0.23647915744881165,0.2588064852692739,0.8303928833720121
400_750_primary,400.0,750.0,648,fixed,0.19043962662556002,0.19829929953422354,0.19043962662556002,0.47711106452124213,-0.4148103418055021
400_750_primary,400.0,750.0,648,best_d,0.1865250521061577,0.19315648877876193,0.1865250521061577,0.47710973086872893,0.12111494339843366
750_931_extended_qc,750.0,931.443,344,fixed,0.2687337716789345,0.2828192295046722,0.2687337716789345,0.46801013951763987,-0.05047164319028377
750_931_extended_qc,750.0,931.443,344,best_d,0.25390363286687784,0.26457575183350285,0.25390363286687784,0.396132406907742,0.697696558760096
