Band,Wavelength_Min_nm,Wavelength_Max_nm,Point_Count_Strict,Model,MAE,RMSE,Mean_Bias,Max_Abs_Error,Pearson_Correlation
450_500,450.0,500.0,58,fixed,0.20239730304864842,0.21023809001412394,0.20239730304864842,0.4781544968833615,-0.8333786586405053
450_500,450.0,500.0,58,best_d,0.2023992675803529,0.21023989858325623,0.2023992675803529,0.47815598617868377,-0.8334046092334089
500_650,500.0,650.0,354,fixed,0.1516498133103728,0.15516974205330447,0.1516498133103728,0.21708007335976812,-0.8047469182579899
500_650,500.0,650.0,354,best_d,0.152570861362629,0.15657491169452034,0.152570861362629,0.22972815817550857,-0.859701211100249
650_750,650.0,750.0,237,fixed,0.26965501434924916,0.2713078403653241,0.26965501434924916,0.31598815526718693,-0.8083786477526259
650_750,650.0,750.0,237,best_d,0.2456945058800741,0.24673431215241381,0.2456945058800741,0.27286183905520667,0.5414331002789079
400_750_primary,400.0,750.0,648,fixed,0.19925036391374362,0.20966261066189026,0.19925036391374362,0.4781544968833615,-0.7583807148208227
400_750_primary,400.0,750.0,648,best_d,0.1909708521256685,0.19882942399747444,0.1909708521256685,0.47815598617868377,-0.08358075118135304
750_931_extended_qc,750.0,931.443,344,fixed,0.17890547334858486,0.22655550910505948,0.16891550817478349,0.4422881405272614,-0.6662395475701129
750_931_extended_qc,750.0,931.443,344,best_d,0.20805218791056035,0.23358542972229265,0.20703639880752128,0.3876926401787351,-0.020686901986559956
