d_PVK_nm,R_total_peak_nm,R_total_valley_nm,R_total_peak_valley_spacing_nm,R_stack_peak_nm,R_stack_valley_nm,R_stack_peak_valley_spacing_nm,R_total_850nm,R_stack_850nm,R_total_900nm,R_stack_900nm,R_total_950nm,R_stack_950nm,R_total_1000nm,R_stack_1000nm,R_total_1050nm,R_stack_1050nm
500.0,941.0,810.0,131.0,941.0,810.0,131.0,0.5781870099383373,0.5702533369239465,0.7103263279995341,0.7066066866208576,0.7891879520759364,0.7872247802677582,0.6795472365981258,0.6749889249399164,0.5824433296721614,0.5746704341093564
505.0,948.0,810.0,138.0,948.0,810.0,138.0,0.5670457146235656,0.558683250112981,0.6913806923575692,0.6871550368008527,0.7967689378508169,0.7949450328473225,0.7003234315190003,0.69634069836006,0.5949629359824726,0.5876532421913636
510.0,954.0,813.0,141.0,954.0,813.0,141.0,0.5573213965690857,0.5485752709423541,0.6723107274877325,0.6675426868433159,0.7992599952509545,0.797480724129986,0.7213875579295165,0.7179482493705459,0.6090843215611067,0.6022797206542311
515.0,961.0,819.0,142.0,961.0,819.0,142.0,0.5491216399516335,0.540045182040511,0.6536987689259361,0.6483693159464676,0.7965417301982589,0.7947137264064774,0.742186960296487,0.7392447084526147,0.62469766691135,0.6184301260104068
520.0,968.0,826.0,142.0,968.0,826.0,142.0,0.5425799885898748,0.5332355159314485,0.6359722417135435,0.6300785715844417,0.7888644483096623,0.7868952185268039,0.7620732885754704,0.7595696343291791,0.6416692606599048,0.6359600649901758
525.0,975.0,833.0,142.0,975.0,833.0,142.0,0.5378642273488068,0.5283240790137546,0.6194311296417273,0.6129849417776326,0.7768021199985967,0.7746002824856664,0.780321507359528,0.7781888913439545,0.6598340952392536,0.6546932121074367
530.0,981.0,840.0,141.0,981.0,840.0,141.0,0.53518254670056,0.5255302017523222,0.6042781186271767,0.5973036750486214,0.7611617694299194,0.7586387932660389,0.796165703514155,0.7943309060657727,0.6789877995981134,0.6744134449204644
535.0,988.0,848.0,140.0,988.0,848.0,140.0,0.5347865163814516,0.5251175455165165,0.5906466123107498,0.5831788590388344,0.7428727796068421,0.7399462494032687,0.8088520024481588,0.807239390484014,0.6988783787661849,0.6948568854746886
540.0,995.0,855.0,140.0,995.0,855.0,140.0,0.5369686524154793,0.527391109309563,0.5786245137877414,0.5707074442752401,0.7228812450077906,0.7194789401585469,0.8177048788039091,0.8162387544582206,0.7191985137174233,0.715704609016815
545.0,1001.0,862.0,139.0,1001.0,862.0,139.0,0.5420508644407223,0.5326845393603792,0.5682733100998653,0.5599586554580337,0.7020672306303191,0.6981310175678639,0.8221984638430769,0.8208040051908457,0.739579523725515,0.7365771104473233
