Wavelength_nm,R_front,T_front,R_stack,R_total,d_PVK_bulk_nm,d_C60_bulk_nm,ensemble_id,d_BEMA_rear_nm,Delta_R_stack_vs_pristine,Delta_R_total_vs_pristine
400.0,0.04193131469631514,0.9580686853036848,0.075565605991973,0.11151312689193181,700.0,15.0,nominal,0.0,0.0,0.0
401.0,0.04193131469631514,0.9580686853036848,0.0741024107284254,0.11016159780070853,700.0,15.0,nominal,0.0,0.0,0.0
402.0,0.04193131469631514,0.9580686853036848,0.0726034270129008,0.10877718401448627,700.0,15.0,nominal,0.0,0.0,0.0
403.0,0.04193131469631514,0.9580686853036848,0.07107142318917542,0.10736245426738072,700.0,15.0,nominal,0.0,0.0,0.0
404.0,0.04193131469631514,0.9580686853036848,0.06950917574250846,0.10591998375687835,700.0,15.0,nominal,0.0,0.0,0.0
405.0,0.04193131469631514,0.9580686853036848,0.06791946462475476,0.10445234975559008,700.0,15.0,nominal,0.0,0.0,0.0
406.0,0.04193131469631514,0.9580686853036848,0.06630506870884345,0.10296212735172112,700.0,15.0,nominal,0.0,0.0,0.0
407.0,0.04193131469631514,0.9580686853036848,0.0646687613333087,0.10145188528207946,700.0,15.0,nominal,0.0,0.0,0.0
408.0,0.04193131469631514,0.9580686853036848,0.06301330593405592,0.0999241818551018,700.0,15.0,nominal,0.0,0.0,0.0
409.0,0.04193131469631514,0.9580686853036848,0.06134145178860043,0.09838156098720383,700.0,15.0,nominal,0.0,0.0,0.0
410.0,0.04193131469631514,0.9580686853036848,0.059655929859708696,0.09682654834033977,700.0,15.0,nominal,0.0,0.0,0.0
411.0,0.04193131469631514,0.9580686853036848,0.05795944872170078,0.09526164754522953,700.0,15.0,nominal,0.0,0.0,0.0
412.0,0.04193131469631514,0.9580686853036848,0.05625469057899306,0.09368933651895074,700.0,15.0,nominal,0.0,0.0,0.0
413.0,0.04193131469631514,0.9580686853036848,0.05454430740093642,0.09211206389888323,700.0,15.0,nominal,0.0,0.0,0.0
414.0,0.04193131469631514,0.9580686853036848,0.05283091714731743,0.0905322455691104,700.0,15.0,nominal,0.0,0.0,0.0
415.0,0.04193131469631514,0.9580686853036848,0.05111710008720588,0.08895226128146883,700.0,15.0,nominal,0.0,0.0,0.0
416.0,0.04193131469631514,0.9580686853036848,0.04940539523415875,0.08737445139212924,700.0,15.0,nominal,0.0,0.0,0.0
417.0,0.04193131469631514,0.9580686853036848,0.047698296898054035,0.08580111371357699,700.0,15.0,nominal,0.0,0.0,0.0
418.0,0.04193131469631514,0.9580686853036848,0.04599825134289712,0.08423450047175429,700.0,15.0,nominal,0.0,0.0,0.0
419.0,0.04193131469631514,0.9580686853036848,0.0443076535611709,0.08267681537766453,700.0,15.0,nominal,0.0,0.0,0.0
420.0,0.04193131469631514,0.9580686853036848,0.04262884418876827,0.08113021083510771,700.0,15.0,nominal,0.0,0.0,0.0
421.0,0.04193131469631514,0.9580686853036848,0.040964106545951035,0.07959678527061961,700.0,15.0,nominal,0.0,0.0,0.0
422.0,0.04193131469631514,0.9580686853036848,0.03931566380866893,0.07807858058907882,700.0,15.0,nominal,0.0,0.0,0.0
423.0,0.04193131469631514,0.9580686853036848,0.03768567632806918,0.07657757977085361,700.0,15.0,nominal,0.0,0.0,0.0
424.0,0.04193131469631514,0.9580686853036848,0.036076239104620315,0.07509570461582861,700.0,15.0,nominal,0.0,0.0,0.0
425.0,0.04193131469631514,0.9580686853036848,0.03448937940927897,0.07363481362675396,700.0,15.0,nominal,0.0,0.0,0.0
426.0,0.04193131469631514,0.9580686853036848,0.032927054560303884,0.07219670003925137,700.0,15.0,nominal,0.0,0.0,0.0
427.0,0.04193131469631514,0.9580686853036848,0.03139114987379934,0.07078309001452587,700.0,15.0,nominal,0.0,0.0,0.0
428.0,0.04193131469631514,0.9580686853036848,0.029883476779962285,0.06939564098679375,700.0,15.0,nominal,0.0,0.0,0.0
429.0,0.04193131469631514,0.9580686853036848,0.028405771107165433,0.06803594016679851,700.0,15.0,nominal,0.0,0.0,0.0
430.0,0.04193131469631514,0.9580686853036848,0.02695969154442819,0.06670550321054158,700.0,15.0,nominal,0.0,0.0,0.0
431.0,0.04193131469631514,0.9580686853036848,0.025546818288055394,0.06540577305796963,700.0,15.0,nominal,0.0,0.0,0.0
432.0,0.04193131469631514,0.9580686853036848,0.02416865186531391,0.06413811893449925,700.0,15.0,nominal,0.0,0.0,0.0
433.0,0.04193131469631514,0.9580686853036848,0.022826612138991415,0.06290383551837936,700.0,15.0,nominal,0.0,0.0,0.0
434.0,0.04193131469631514,0.9580686853036848,0.021522037502075955,0.06170414228187233,700.0,15.0,nominal,0.0,0.0,0.0
435.0,0.04193131469631514,0.9580686853036848,0.020256184256374092,0.06054018300007438,700.0,15.0,nominal,0.0,0.0,0.0
436.0,0.04193131469631514,0.9580686853036848,0.019030226172979878,0.059413025424994534,700.0,15.0,nominal,0.0,0.0,0.0
437.0,0.04193131469631514,0.9580686853036848,0.017845254237306103,0.05832366112695434,700.0,15.0,nominal,0.0,0.0,0.0
438.0,0.04193131469631514,0.9580686853036848,0.016702276579758715,0.05727300550390281,700.0,15.0,nominal,0.0,0.0,0.0
439.0,0.04193131469631514,0.9580686853036848,0.015602218583759571,0.05626189795065619,700.0,15.0,nominal,0.0,0.0,0.0
440.0,0.04193131469631514,0.9580686853036848,0.014545923169413324,0.05529110218617019,700.0,15.0,nominal,0.0,0.0,0.0
441.0,0.04193131469631514,0.9580686853036848,0.013534151253202266,0.05436130673890743,700.0,15.0,nominal,0.0,0.0,0.0
442.0,0.04193131469631514,0.9580686853036848,0.012567582376539673,0.053473125583458035,700.0,15.0,nominal,0.0,0.0,0.0
443.0,0.04193131469631514,0.9580686853036848,0.0116468154970291,0.05262709892254661,700.0,15.0,nominal,0.0,0.0,0.0
444.0,0.04193131469631514,0.9580686853036848,0.01077236993868592,0.05182369411081118,700.0,15.0,nominal,0.0,0.0,0.0
445.0,0.04193131469631514,0.9580686853036848,0.009709855224663782,0.05084757836955716,700.0,15.0,nominal,0.0,0.0,0.0
446.0,0.04193131469631514,0.9580686853036848,0.008751434612354522,0.049967166900652164,700.0,15.0,nominal,0.0,0.0,0.0
447.0,0.04193131469631514,0.9580686853036848,0.007897218199153368,0.04918253775442271,700.0,15.0,nominal,0.0,0.0,0.0
448.0,0.04193131469631514,0.9580686853036848,0.00714715653716706,0.048493624932044906,700.0,15.0,nominal,0.0,0.0,0.0
449.0,0.04193131469631514,0.9580686853036848,0.00654050451757911,0.04793646197582202,700.0,15.0,nominal,0.0,0.0,0.0
450.0,0.04193131469631514,0.9580686853036848,0.00605655700692868,0.04749201395084129,700.0,15.0,nominal,0.0,0.0,0.0
451.0,0.04193131469631514,0.9580686853036848,0.00567276329250459,0.047139558061237444,700.0,15.0,nominal,0.0,0.0,0.0
452.0,0.04193131469631514,0.9580686853036848,0.005365204751815531,0.04685712072102585,700.0,15.0,nominal,0.0,0.0,0.0
453.0,0.04193131469631514,0.9580686853036848,0.005118537927674127,0.04663060676311489,700.0,15.0,nominal,0.0,0.0,0.0
454.0,0.04193131469631514,0.9580686853036848,0.004899258600931873,0.04642924665834197,700.0,15.0,nominal,0.0,0.0,0.0
455.0,0.04193131469631514,0.9580686853036848,0.00468413390706882,0.046231705274256615,700.0,15.0,nominal,0.0,0.0,0.0
456.0,0.04193131469631514,0.9580686853036848,0.00448359073155503,0.04604755679209516,700.0,15.0,nominal,0.0,0.0,0.0
457.0,0.04193131469631514,0.9580686853036848,0.004311790761986854,0.045889804180856815,700.0,15.0,nominal,0.0,0.0,0.0
458.0,0.04193131469631514,0.9580686853036848,0.004165808834747517,0.04575576036607756,700.0,15.0,nominal,0.0,0.0,0.0
459.0,0.04193131469631514,0.9580686853036848,0.0040442980791915795,0.04564418777075927,700.0,15.0,nominal,0.0,0.0,0.0
460.0,0.04193131469631514,0.9580686853036848,0.003950124747394622,0.04555771749947647,700.0,15.0,nominal,0.0,0.0,0.0
