Wavelength_nm,R_front,T_front,R_stack,R_total,ensemble_id,d_PVK_nm,Delta_R_stack_vs_700nm,Delta_R_total_vs_700nm
400.0,0.04193131469631514,0.9580686853036848,0.07556560606801148,0.1115131269621716,nominal,600.0,7.603848106718658e-11,7.023978620956939e-11
401.0,0.04193131469631514,0.9580686853036848,0.0741024108109511,0.11016159787693146,nominal,600.0,8.252570848910068e-11,7.622293074494024e-11
402.0,0.04193131469631514,0.9580686853036848,0.07260342710225214,0.10877718409700311,nominal,600.0,8.935135964449614e-11,8.25168683382671e-11
403.0,0.04193131469631514,0.9580686853036848,0.07107142328569468,0.10736245435650575,nominal,600.0,9.651929255838354e-11,8.912505455871411e-11
404.0,0.04193131469631514,0.9580686853036848,0.06950917584654148,0.10591998385292888,nominal,600.0,1.0403301831107825e-10,9.605052864181118e-11
405.0,0.04193131469631514,0.9580686853036848,0.06791946473665085,0.10445234985888653,nominal,600.0,1.1189608961625908e-10,1.032964547231785e-10
406.0,0.04193131469631514,0.9580686853036848,0.06630506882895554,0.1029621274625871,nominal,600.0,1.2011205918760481e-10,1.1086594142728501e-10
407.0,0.04193131469631514,0.9580686853036848,0.06466876146199367,0.10145188540084205,nominal,600.0,1.2868496546136754e-10,1.1876258310117294e-10
408.0,0.04193131469631514,0.9580686853036848,0.06301330607167521,0.09992418198209213,nominal,600.0,1.3761929096300918e-10,1.269903349143675e-10
409.0,0.04193131469631514,0.9580686853036848,0.06134145193552086,0.09838156112275787,nominal,600.0,1.4692042721309306e-10,1.3555404021481365e-10
410.0,0.04193131469631514,0.9580686853036848,0.05965593001630391,0.09682654848479964,nominal,600.0,1.5659517432764503e-10,1.4445984686251023e-10
411.0,0.04193131469631514,0.9580686853036848,0.057959448888352846,0.09526164769894498,nominal,600.0,1.6665205326837906e-10,1.5371544315190278e-10
412.0,0.04193131469631514,0.9580686853036848,0.056254690756094364,0.09368933668228087,nominal,600.0,1.7710129196490954e-10,1.633301133230347e-10
413.0,0.04193131469631514,0.9580686853036848,0.0545443075888928,0.09211206407219943,nominal,600.0,1.8795637962698564e-10,1.73316208607055e-10
414.0,0.04193131469631514,0.9580686853036848,0.052830917346551085,0.09053224575279903,nominal,600.0,1.9923362959417545e-10,1.836886198702814e-10
415.0,0.04193131469631514,0.9580686853036848,0.051117100298159426,0.08895226147593491,nominal,600.0,2.1095354629796503e-10,1.944660821262545e-10
416.0,0.04193131469631514,0.9580686853036848,0.049405395457299967,0.08737445159780084,nominal,600.0,2.231412069009231e-10,2.0567160474715962e-10
417.0,0.04193131469631514,0.9580686853036848,0.047698297133881115,0.08580111393091011,nominal,600.0,2.358270939639695e-10,2.1733312371985392e-10
418.0,0.04193131469631514,0.9580686853036848,0.045998251591945455,0.08423450070123906,nominal,600.0,2.4904833056949016e-10,2.294847645245568e-10
