Wavelength_nm,d_PVK_nm,R_total,Delta_R_total_vs_700nm
400.0,675.0,0.11151312689174477,-1.8704482407372325e-13
401.0,675.0,0.1101615978008113,1.0277889650467387e-13
402.0,675.0,0.1087771840149415,4.552608290353533e-13
403.0,675.0,0.10736245426825893,8.782280458419223e-13
404.0,675.0,0.10591998375825824,1.379826808367568e-12
405.0,675.0,0.10445234975755899,1.9690221675361386e-12
406.0,675.0,0.10296212735437651,2.6552648968447556e-12
407.0,675.0,0.10145188528552809,3.448602514666277e-12
408.0,675.0,0.09992418185946161,4.35984581770299e-12
409.0,675.0,0.09838156099260402,5.400221936291416e-12
410.0,675.0,0.09682654834692153,6.5817351568853155e-12
411.0,675.0,0.0952616475531465,7.917028144177607e-12
412.0,675.0,0.09368933652837001,9.419257041010098e-12
413.0,675.0,0.09211206390998555,1.1102313512978412e-11
414.0,675.0,0.09053224558209078,1.2980394537009943e-11
415.0,675.0,0.08895226129653734,1.5068502001724937e-11
416.0,675.0,0.08737445140951114,1.73819153514998e-11
417.0,675.0,0.08580111373351332,1.9936330364345167e-11
418.0,675.0,0.08423450049450235,2.2747984051996184e-11
419.0,675.0,0.08267681540349758,2.5833168937339224e-11
420.0,675.0,0.08113021086431593,2.920819142104847e-11
421.0,675.0,0.07959678530350925,3.2889635459554256e-11
422.0,675.0,0.07807858062597253,3.689365479786488e-11
423.0,675.0,0.07657757981208996,4.123637542541303e-11
424.0,675.0,0.07509570466176173,4.5933104542150716e-11
425.0,675.0,0.07363481367775238,5.0998427703063953e-11
426.0,675.0,0.07219670009569706,5.644568146223605e-11
427.0,675.0,0.07078309007681255,6.228668969487927e-11
428.0,675.0,0.06939564105532514,6.85313750192762e-11
429.0,675.0,0.06803594024198567,7.518717592969182e-11
430.0,675.0,0.06670550329279999,8.225840841813437e-11
431.0,675.0,0.06540577314771544,8.974583576293327e-11
432.0,675.0,0.06413811903214453,9.764530850553399e-11
433.0,675.0,0.06290383562432669,1.0594733423907599e-10
