d_BEMA_rear_nm,d_PVK_bulk_nm,d_C60_bulk_nm,rear_peak_nm,rear_valley_nm,rear_peak_valley_spacing_nm,rear_peak_valley_contrast_total,rear_peak_valley_contrast_stack,max_abs_deltaR_stack_810_1100,max_abs_deltaR_total_810_1100,mean_R_stack_810_1100,mean_R_total_810_1100
0.0,700.0,15.0,947.0,845.0,102.0,0.26353134495021835,0.2714297024867395,1.3322676295501878e-15,1.3322676295501878e-15,0.6214483606940245,0.6279457591117298
1.0,699.5,14.5,947.0,845.0,102.0,0.2635462006818252,0.27144518499498793,7.299155111173405e-05,7.075678832135779e-05,0.6214425407747134,0.6279401529360883
2.0,699.0,14.0,947.0,845.0,102.0,0.2635630987637363,0.27146280522887567,0.00016145908637144046,0.0001565151400617637,0.6214355725973398,0.6279334388014277
3.0,698.5,13.5,947.0,845.0,102.0,0.2635820185529387,0.2714825417838471,0.00026533271026896177,0.0002572069578852254,0.621427461808544,0.6279256221571834
4.0,698.0,13.0,947.0,845.0,102.0,0.26360293686824776,0.271504370628904,0.00038453702756602315,0.0003727587560407031,0.6214182146682922,0.6279167090463005
5.0,697.5,12.5,947.0,845.0,102.0,0.263625828040566,0.27152826515875217,0.0005189912739097524,0.0005030917881814201,0.6214078380353488,0.6279067060911797
6.0,697.0,12.0,947.0,845.0,102.0,0.2636506639658278,0.27155419624872035,0.0006686094438930201,0.000648122172801191,0.6213963393524361,0.6278956204793119
7.0,696.5,11.5,947.0,845.0,102.0,0.26367741416053314,0.2715821323123433,0.0008333004164414737,0.0008077610161651982,0.6213837266311094,0.6278834599486368
8.0,696.0,11.0,947.0,845.0,102.0,0.26370604581971124,0.27161203936145406,0.001012968077530152,0.0009819145327357726,0.6213700084363751,0.6278702327726474
9.0,695.5,10.5,947.0,845.0,102.0,0.2637365238772097,0.27164388106866877,0.0012075114401335352,0.0011704841629930351,0.621355193871076,0.6278559477452671
10.0,695.0,10.0,947.0,845.0,102.0,0.26376881106816574,0.2716776188321204,0.0014168247614457785,0.0013733666886835971,0.6213392925600698,0.6278406141655225
11.0,694.5,9.5,947.0,845.0,102.0,0.26380286799354313,0.27171321184232056,0.001640797657340598,0.0015904543454628994,0.6213223146342266,0.6278242418220379
12.0,694.0,9.0,947.0,845.0,102.0,0.2638386531865784,0.2717506171509856,0.0018793152141175495,0.0018216349329718273,0.6213042707142649,0.6278068409773714
13.0,693.5,8.5,947.0,845.0,102.0,0.26387612318102893,0.2717897897417193,0.002132258097541584,0.002066791922351263,0.6212851718944528,0.6277884223522169
14.0,693.0,8.0,947.0,845.0,102.0,0.26391523258110716,0.27183068260242826,0.002399502659267916,0.0023258045612782885,0.6212650297261929,0.6277689971094919
15.0,692.5,7.5,947.0,845.0,102.0,0.2639559341329263,0.2718732467992928,0.002680921040669082,0.0025985479765379127,0.6212438562015139,0.6277485768383331
16.0,692.0,7.0,947.0,845.0,102.0,0.2639981787973863,0.2719174315522197,0.0029763812741944173,0.0028848932742532307,0.6212216637364879,0.627727173538016
17.0,691.5,6.5,947.0,845.0,102.0,0.2640419158243288,0.2719631843115964,0.003285747382308135,0.0031847076378119787,0.6211984651545911,0.6277047996018219
18.0,691.0,6.0,947.0,845.0,102.0,0.264087092827884,0.2720104508362716,0.0036088794741373498,0.0034978544236158315,0.6211742736700313,0.6276814678008658
19.0,690.5,5.5,947.0,845.0,102.0,0.26413365586282667,0.2720591752725704,0.003945633839919194,0.0038241932547359303,0.6211491028710526,0.6276571912679066
20.0,690.0,5.0,947.0,845.0,102.0,0.2641815495018882,0.2721093002342898,0.004295863043380366,0.004163580112596765,0.6211229667032411,0.6276319834811526
21.0,689.5,4.5,947.0,845.0,102.0,0.2642307169138588,0.27216076688350355,0.004659416012151141,0.0045158674267875565,0.6210958794528433,0.6276058582480807
22.0,689.0,4.0,947.0,845.0,102.0,0.26428109994238,0.27221351501207314,0.005036138126388701,0.004880904163165112,0.6210678557301144,0.6275788296892834
23.0,688.5,3.5,947.0,845.0,102.0,0.26433263918532146,0.27226748312375637,0.005425871305684948,0.005258535910317663,0.6210389104527109,0.6275509122223576
24.0,688.0,3.0,947.0,845.0,102.0,0.26438527407461065,0.2723226085167746,0.0058284540944458785,0.005648604964569204,0.6210090588291425,0.6275221205458515
25.0,687.5,2.5,947.0,844.0,103.0,0.2644402076539102,0.27238014542869293,0.006243721745866737,0.006050950413639233,0.6209783163422957,0.6274924696232796
26.0,687.0,2.0,947.0,844.0,103.0,0.26450069192121806,0.27244348356260084,0.006671506304642971,0.006465408219092361,0.6209466987330418,0.6274619746672201
27.0,686.5,1.5,947.0,844.0,103.0,0.26456224823741237,0.27250795578222475,0.007111636688576839,0.006891811297728534,0.6209142219839437,0.6274306511235085
28.0,686.0,1.0,946.0,844.0,102.0,0.2646251592235428,0.2725738486210588,0.007563938769195144,0.0073299896020221356,0.6208809023030715,0.6273985146555356
29.0,685.5,0.5,946.0,844.0,102.0,0.2646959556350946,0.2726478092142969,0.00802823545155984,0.007779770199784153,0.6208467561079386,0.6273655811286646
30.0,685.0,0.0,946.0,844.0,102.0,0.2647678281565159,0.272722904479307,0.008504346753388403,0.008240977353156431,0.6208118000095686,0.6273318665947747
