Wavelength_nm,R_front,T_front,R_stack,R_total,d_BEMA_rear_nm,d_PVK_bulk_nm,d_C60_bulk_nm,Delta_R_stack_vs_pristine,Delta_R_total_vs_pristine
400.0,0.04193131469631514,0.9580686853036848,0.075565605991973,0.11151312689193181,0.0,700.0,15.0,0.0,1.3877787807814457e-17
401.0,0.04193131469631514,0.9580686853036848,0.0741024107284254,0.11016159780070853,0.0,700.0,15.0,0.0,2.7755575615628914e-17
402.0,0.04193131469631514,0.9580686853036848,0.0726034270129008,0.10877718401448627,0.0,700.0,15.0,9.71445146547012e-17,6.938893903907228e-17
403.0,0.04193131469631514,0.9580686853036848,0.07107142318917542,0.10736245426738072,0.0,700.0,15.0,1.249000902703301e-16,2.7755575615628914e-17
404.0,0.04193131469631514,0.9580686853036848,0.06950917574250846,0.10591998375687835,0.0,700.0,15.0,6.938893903907228e-17,4.163336342344337e-17
405.0,0.04193131469631514,0.9580686853036848,0.06791946462475476,0.10445234975559008,0.0,700.0,15.0,5.551115123125783e-17,8.326672684688674e-17
406.0,0.04193131469631514,0.9580686853036848,0.06630506870884345,0.10296212735172112,0.0,700.0,15.0,5.551115123125783e-17,2.7755575615628914e-17
407.0,0.04193131469631514,0.9580686853036848,0.0646687613333087,0.10145188528207946,0.0,700.0,15.0,0.0,6.938893903907228e-17
408.0,0.04193131469631514,0.9580686853036848,0.06301330593405592,0.0999241818551018,0.0,700.0,15.0,2.7755575615628914e-17,0.0
409.0,0.04193131469631514,0.9580686853036848,0.06134145178860043,0.09838156098720383,0.0,700.0,15.0,3.469446951953614e-17,2.7755575615628914e-17
410.0,0.04193131469631514,0.9580686853036848,0.059655929859708696,0.09682654834033977,0.0,700.0,15.0,-6.938893903907228e-18,-2.7755575615628914e-17
411.0,0.04193131469631514,0.9580686853036848,0.05795944872170078,0.09526164754522953,0.0,700.0,15.0,7.632783294297951e-17,2.7755575615628914e-17
412.0,0.04193131469631514,0.9580686853036848,0.05625469057899306,0.09368933651895074,0.0,700.0,15.0,5.551115123125783e-17,4.163336342344337e-17
413.0,0.04193131469631514,0.9580686853036848,0.05454430740093642,0.09211206389888323,0.0,700.0,15.0,2.0816681711721685e-17,2.7755575615628914e-17
414.0,0.04193131469631514,0.9580686853036848,0.05283091714731743,0.0905322455691104,0.0,700.0,15.0,2.7755575615628914e-17,0.0
415.0,0.04193131469631514,0.9580686853036848,0.05111710008720588,0.08895226128146883,0.0,700.0,15.0,8.326672684688674e-17,2.7755575615628914e-17
416.0,0.04193131469631514,0.9580686853036848,0.04940539523415875,0.08737445139212924,0.0,700.0,15.0,5.551115123125783e-17,4.163336342344337e-17
417.0,0.04193131469631514,0.9580686853036848,0.047698296898054035,0.08580111371357699,0.0,700.0,15.0,3.469446951953614e-17,8.326672684688674e-17
418.0,0.04193131469631514,0.9580686853036848,0.04599825134289712,0.08423450047175429,0.0,700.0,15.0,2.0816681711721685e-17,9.71445146547012e-17
419.0,0.04193131469631514,0.9580686853036848,0.0443076535611709,0.08267681537766453,0.0,700.0,15.0,9.71445146547012e-17,2.7755575615628914e-17
420.0,0.04193131469631514,0.9580686853036848,0.04262884418876827,0.08113021083510771,0.0,700.0,15.0,6.938893903907228e-17,1.3877787807814457e-17
421.0,0.04193131469631514,0.9580686853036848,0.040964106545951035,0.07959678527061961,0.0,700.0,15.0,3.469446951953614e-17,1.3877787807814457e-17
422.0,0.04193131469631514,0.9580686853036848,0.03931566380866893,0.07807858058907882,0.0,700.0,15.0,2.7755575615628914e-17,2.7755575615628914e-17
423.0,0.04193131469631514,0.9580686853036848,0.03768567632806918,0.07657757977085361,0.0,700.0,15.0,7.632783294297951e-17,1.3877787807814457e-17
424.0,0.04193131469631514,0.9580686853036848,0.036076239104620315,0.07509570461582861,0.0,700.0,15.0,1.3877787807814457e-17,1.3877787807814457e-17
425.0,0.04193131469631514,0.9580686853036848,0.03448937940927897,0.07363481362675396,0.0,700.0,15.0,6.938893903907228e-17,5.551115123125783e-17
426.0,0.04193131469631514,0.9580686853036848,0.032927054560303884,0.07219670003925137,0.0,700.0,15.0,-1.3877787807814457e-17,6.938893903907228e-17
427.0,0.04193131469631514,0.9580686853036848,0.03139114987379934,0.07078309001452587,0.0,700.0,15.0,4.163336342344337e-17,6.938893903907228e-17
428.0,0.04193131469631514,0.9580686853036848,0.029883476779962285,0.06939564098679375,0.0,700.0,15.0,8.326672684688674e-17,5.551115123125783e-17
429.0,0.04193131469631514,0.9580686853036848,0.028405771107165433,0.06803594016679851,0.0,700.0,15.0,3.122502256758253e-17,1.3877787807814457e-17
430.0,0.04193131469631514,0.9580686853036848,0.02695969154442819,0.06670550321054158,0.0,700.0,15.0,9.020562075079397e-17,8.326672684688674e-17
431.0,0.04193131469631514,0.9580686853036848,0.025546818288055394,0.06540577305796963,0.0,700.0,15.0,9.367506770274758e-17,2.7755575615628914e-17
432.0,0.04193131469631514,0.9580686853036848,0.02416865186531391,0.06413811893449925,0.0,700.0,15.0,1.0408340855860843e-17,5.551115123125783e-17
433.0,0.04193131469631514,0.9580686853036848,0.022826612138991415,0.06290383551837936,0.0,700.0,15.0,1.3877787807814457e-17,5.551115123125783e-17
434.0,0.04193131469631514,0.9580686853036848,0.021522037502075955,0.06170414228187233,0.0,700.0,15.0,5.551115123125783e-17,2.7755575615628914e-17
435.0,0.04193131469631514,0.9580686853036848,0.020256184256374092,0.06054018300007438,0.0,700.0,15.0,-6.938893903907228e-18,8.326672684688674e-17
436.0,0.04193131469631514,0.9580686853036848,0.019030226172979878,0.059413025424994534,0.0,700.0,15.0,7.632783294297951e-17,3.469446951953614e-17
437.0,0.04193131469631514,0.9580686853036848,0.017845254237306103,0.05832366112695434,0.0,700.0,15.0,3.469446951953614e-18,4.163336342344337e-17
