Wavelength_nm,R_front,T_front,R_stack,R_total,d_gap_rear_nm,Delta_R_stack_vs_pristine,Delta_R_total_vs_pristine
400.0,0.04193131469631514,0.9580686853036848,0.07556560599197297,0.11151312689193178,0.0,0.0,0.0
401.0,0.04193131469631514,0.9580686853036848,0.0741024107284254,0.11016159780070853,0.0,0.0,0.0
402.0,0.04193131469631514,0.9580686853036848,0.07260342701290078,0.10877718401448624,0.0,0.0,0.0
403.0,0.04193131469631514,0.9580686853036848,0.07107142318917542,0.10736245426738072,0.0,0.0,0.0
404.0,0.04193131469631514,0.9580686853036848,0.06950917574250846,0.10591998375687835,0.0,0.0,0.0
405.0,0.04193131469631514,0.9580686853036848,0.06791946462475476,0.10445234975559008,0.0,0.0,0.0
406.0,0.04193131469631514,0.9580686853036848,0.06630506870884348,0.10296212735172115,0.0,0.0,0.0
407.0,0.04193131469631514,0.9580686853036848,0.06466876133330873,0.10145188528207949,0.0,0.0,0.0
408.0,0.04193131469631514,0.9580686853036848,0.06301330593405592,0.0999241818551018,0.0,0.0,0.0
409.0,0.04193131469631514,0.9580686853036848,0.06134145178860043,0.09838156098720383,0.0,0.0,0.0
410.0,0.04193131469631514,0.9580686853036848,0.05965592985970871,0.09682654834033977,0.0,0.0,0.0
411.0,0.04193131469631514,0.9580686853036848,0.05795944872170078,0.09526164754522953,0.0,0.0,0.0
412.0,0.04193131469631514,0.9580686853036848,0.05625469057899307,0.09368933651895076,0.0,0.0,0.0
413.0,0.04193131469631514,0.9580686853036848,0.05454430740093642,0.09211206389888323,0.0,0.0,0.0
414.0,0.04193131469631514,0.9580686853036848,0.05283091714731743,0.0905322455691104,0.0,0.0,0.0
415.0,0.04193131469631514,0.9580686853036848,0.05111710008720587,0.08895226128146883,0.0,0.0,0.0
416.0,0.04193131469631514,0.9580686853036848,0.049405395234158773,0.08737445139212927,0.0,0.0,0.0
417.0,0.04193131469631514,0.9580686853036848,0.047698296898054035,0.08580111371357699,0.0,0.0,0.0
418.0,0.04193131469631514,0.9580686853036848,0.045998251342897124,0.08423450047175429,0.0,0.0,0.0
419.0,0.04193131469631514,0.9580686853036848,0.0443076535611709,0.08267681537766453,0.0,0.0,0.0
420.0,0.04193131469631514,0.9580686853036848,0.04262884418876824,0.08113021083510769,0.0,0.0,0.0
421.0,0.04193131469631514,0.9580686853036848,0.040964106545951035,0.07959678527061961,0.0,0.0,0.0
422.0,0.04193131469631514,0.9580686853036848,0.039315663808668945,0.07807858058907885,0.0,0.0,0.0
423.0,0.04193131469631514,0.9580686853036848,0.03768567632806917,0.0765775797708536,0.0,0.0,0.0
424.0,0.04193131469631514,0.9580686853036848,0.036076239104620315,0.07509570461582861,0.0,0.0,0.0
425.0,0.04193131469631514,0.9580686853036848,0.034489379409278965,0.07363481362675395,0.0,0.0,0.0
426.0,0.04193131469631514,0.9580686853036848,0.0329270545603039,0.07219670003925138,0.0,0.0,0.0
427.0,0.04193131469631514,0.9580686853036848,0.03139114987379932,0.07078309001452586,0.0,0.0,0.0
428.0,0.04193131469631514,0.9580686853036848,0.029883476779962264,0.06939564098679374,0.0,0.0,0.0
429.0,0.04193131469631514,0.9580686853036848,0.028405771107165422,0.0680359401667985,0.0,0.0,0.0
430.0,0.04193131469631514,0.9580686853036848,0.02695969154442819,0.06670550321054158,0.0,0.0,0.0
431.0,0.04193131469631514,0.9580686853036848,0.025546818288055394,0.06540577305796963,0.0,0.0,0.0
432.0,0.04193131469631514,0.9580686853036848,0.02416865186531391,0.06413811893449925,0.0,0.0,0.0
433.0,0.04193131469631514,0.9580686853036848,0.022826612138991415,0.06290383551837936,0.0,0.0,0.0
434.0,0.04193131469631514,0.9580686853036848,0.021522037502075972,0.06170414228187235,0.0,0.0,0.0
435.0,0.04193131469631514,0.9580686853036848,0.020256184256374092,0.06054018300007438,0.0,0.0,0.0
436.0,0.04193131469631514,0.9580686853036848,0.019030226172979878,0.059413025424994534,0.0,0.0,0.0
437.0,0.04193131469631514,0.9580686853036848,0.017845254237306103,0.05832366112695434,0.0,0.0,0.0
438.0,0.04193131469631514,0.9580686853036848,0.0167022765797587,0.057273005503902796,0.0,0.0,0.0
439.0,0.04193131469631514,0.9580686853036848,0.015602218583759571,0.05626189795065619,0.0,0.0,0.0
440.0,0.04193131469631514,0.9580686853036848,0.014545923169413324,0.05529110218617019,0.0,0.0,0.0
441.0,0.04193131469631514,0.9580686853036848,0.01353415125320227,0.05436130673890743,0.0,0.0,0.0
442.0,0.04193131469631514,0.9580686853036848,0.012567582376539661,0.05347312558345802,0.0,0.0,0.0
443.0,0.04193131469631514,0.9580686853036848,0.01164681549702911,0.05262709892254662,0.0,0.0,0.0
444.0,0.04193131469631514,0.9580686853036848,0.010772369938685912,0.051823694110811176,0.0,0.0,0.0
445.0,0.04193131469631514,0.9580686853036848,0.009709855224663787,0.05084757836955717,0.0,0.0,0.0
446.0,0.04193131469631514,0.9580686853036848,0.008751434612354527,0.04996716690065217,0.0,0.0,0.0
447.0,0.04193131469631514,0.9580686853036848,0.007897218199153368,0.04918253775442271,0.0,0.0,0.0
448.0,0.04193131469631514,0.9580686853036848,0.007147156537167067,0.04849362493204491,0.0,0.0,0.0
449.0,0.04193131469631514,0.9580686853036848,0.0065405045175791115,0.04793646197582203,0.0,0.0,0.0
450.0,0.04193131469631514,0.9580686853036848,0.006056557006928682,0.047492013950841294,0.0,0.0,0.0
451.0,0.04193131469631514,0.9580686853036848,0.005672763292504594,0.047139558061237444,0.0,0.0,0.0
452.0,0.04193131469631514,0.9580686853036848,0.005365204751815525,0.046857120721025845,0.0,0.0,0.0
453.0,0.04193131469631514,0.9580686853036848,0.005118537927674133,0.04663060676311489,0.0,0.0,0.0
454.0,0.04193131469631514,0.9580686853036848,0.004899258600931875,0.04642924665834197,0.0,0.0,0.0
455.0,0.04193131469631514,0.9580686853036848,0.004684133907068822,0.046231705274256615,0.0,0.0,0.0
456.0,0.04193131469631514,0.9580686853036848,0.004483590731555028,0.04604755679209516,0.0,0.0,0.0
457.0,0.04193131469631514,0.9580686853036848,0.0043117907619868645,0.04588980418085682,0.0,0.0,0.0
458.0,0.04193131469631514,0.9580686853036848,0.004165808834747517,0.04575576036607756,0.0,0.0,0.0
459.0,0.04193131469631514,0.9580686853036848,0.0040442980791915795,0.04564418777075927,0.0,0.0,0.0
460.0,0.04193131469631514,0.9580686853036848,0.003950124747394617,0.04555771749947647,0.0,0.0,0.0
