family,Wavelength_nm,mean_deltaR_total,std_deltaR_total
thickness_nuisance,500.0,-1.6571925031857297e-09,7.50683459729925e-09
thickness_nuisance,501.0,-1.94576272033562e-09,8.59743116399606e-09
thickness_nuisance,502.0,-2.0195643673188366e-09,9.531590093138786e-09
thickness_nuisance,503.0,-2.039269071146059e-09,1.0485567733095705e-08
thickness_nuisance,504.0,-2.2343811780364984e-09,1.1797149488981838e-08
thickness_nuisance,505.0,-2.6530800892267093e-09,1.3506371422357902e-08
thickness_nuisance,506.0,-3.275211773358949e-09,1.548577959927671e-08
thickness_nuisance,507.0,-3.995744755086135e-09,1.7608877155395906e-08
thickness_nuisance,508.0,-4.6529250920600146e-09,1.9789366873902997e-08
thickness_nuisance,509.0,-5.203113783507047e-09,2.231345196996845e-08
thickness_nuisance,510.0,-5.7080868623819046e-09,2.5854452507345673e-08
thickness_nuisance,511.0,-6.331951807108018e-09,3.059944847396869e-08
thickness_nuisance,512.0,-7.315649849792827e-09,3.5825010802174845e-08
thickness_nuisance,513.0,-8.58239348951429e-09,4.1157735774596584e-08
thickness_nuisance,514.0,-9.766181638991806e-09,4.760700263628817e-08
thickness_nuisance,515.0,-1.0731018515235303e-08,5.597522584298591e-08
thickness_nuisance,516.0,-1.1567117449875442e-08,6.524559660834313e-08
thickness_nuisance,517.0,-1.2332077528271904e-08,7.439588569246246e-08
thickness_nuisance,518.0,-1.307904589043605e-08,8.499551003890507e-08
thickness_nuisance,519.0,-1.3966290721689973e-08,9.913760755957147e-08
thickness_nuisance,520.0,-1.5188029556245652e-08,1.1573443671120371e-07
thickness_nuisance,521.0,-1.6422069964504375e-08,1.321853519025557e-07
thickness_nuisance,522.0,-1.5773753467067576e-08,1.4931432338094146e-07
thickness_nuisance,523.0,-1.1147685886048415e-08,1.6988615599432896e-07
thickness_nuisance,524.0,-3.29372326145298e-09,1.931166375406217e-07
thickness_nuisance,525.0,4.910575697703688e-09,2.1606560735807492e-07
thickness_nuisance,526.0,1.10227491790989e-08,2.4118868065906615e-07
thickness_nuisance,527.0,1.411680531131629e-08,2.7585480386938454e-07
thickness_nuisance,528.0,2.064244158748653e-08,3.185556664634877e-07
thickness_nuisance,529.0,4.261214256315261e-08,3.5704065991283537e-07
thickness_nuisance,530.0,7.842517107076937e-08,3.8790881323894256e-07
thickness_nuisance,531.0,1.1317169803471732e-07,4.246876557281442e-07
thickness_nuisance,532.0,1.4309036016553504e-07,4.769239123339445e-07
thickness_nuisance,533.0,1.7978397272626754e-07,5.453963255177289e-07
thickness_nuisance,534.0,2.331444273767309e-07,6.281135604441886e-07
thickness_nuisance,535.0,3.005392696778514e-07,7.063835736492829e-07
thickness_nuisance,536.0,3.7623282291146584e-07,7.57085799745969e-07
thickness_nuisance,537.0,4.6971148121239903e-07,7.864746656788117e-07
thickness_nuisance,538.0,5.936717211318616e-07,8.180072171540934e-07
thickness_nuisance,539.0,7.42055815851595e-07,8.760778201731988e-07
thickness_nuisance,540.0,9.07256434395659e-07,9.694926110337335e-07
thickness_nuisance,541.0,1.0842673701328943e-06,1.0648233406725134e-06
thickness_nuisance,542.0,1.2504204597675187e-06,1.1329320434177794e-06
thickness_nuisance,543.0,1.4151969816738727e-06,1.2284585895532626e-06
thickness_nuisance,544.0,1.6467904789614548e-06,1.4373130221845945e-06
