feature_name,anova_f_score,anova_p_value,eta_squared,thickness_nuisance_mean,thickness_nuisance_std,front_roughness_nuisance_mean,front_roughness_nuisance_std,rear_roughness_nuisance_mean,rear_roughness_nuisance_std,front_gap_on_background_mean,front_gap_on_background_std,rear_gap_on_background_mean,rear_gap_on_background_std,rank_by_f_score,recommended_for_routing
front_to_rear_ratio,164.90504283921604,2.2466099359600874e-56,0.8008790875898293,0.017084668699738653,0.002476293950888457,0.1836291949729775,0.12988528062540616,0.02611685985094327,0.018477768658106405,0.7777167770127562,0.30865171971948824,0.010489961774532224,0.004026648225342192,1,True
wavelet_energy_front,57.47048025941433,3.0627634505173888e-30,0.5836315625557216,0.002692288112963122,0.0006961721735798973,0.008687910881985542,0.007073151389278709,0.0035242705366436053,0.0024940140204632493,0.04768389310827633,0.03133873313169167,0.0014782973424495112,0.000588272133604168,2,True
wavelet_entropy_front,54.03213650077925,5.504374169595784e-29,0.5685669973371188,0.26400870234236945,0.04040854217758994,0.4296851188769419,0.304278463757068,0.19234269837687848,0.1360105014269631,0.60335480038367,0.22835106651249246,0.22295149823420118,0.08525617879302244,3,True
front_plus_transition_to_rear_ratio,38.954959040401675,6.71770610668017e-23,0.48721129380752415,0.7376835072755851,0.1951876592087812,0.6461543000653097,0.458502620738069,0.9467899862163337,0.6694929341857541,1.4039984303267208,0.5361953233257694,0.5630424301535177,0.24158278198180838,4,True
sim_to_front_gap_template,37.44569646179431,3.142032687724678e-22,0.4773454523414374,0.07991454008122804,0.46900129537563967,0.007572850915613007,0.017745243460092385,-0.003025056667327719,0.23704265771632033,0.8543239673875896,0.3240198297007312,0.43673978242043576,0.17586739607554436,5,True
rear_rms_deltaR_810_1055,34.16630096899358,9.937166097740434e-21,0.45454280081026327,0.03537072521301782,0.02038661487721158,0.010289074319348196,0.00727671767657013,0.0006078998494451596,0.0004533908675041683,0.007284048442158945,0.007916383378740273,0.010041306486471956,0.010761322581513279,6,True
rear_unaligned_rms_residual,34.166300968993575,9.937166097740434e-21,0.45454280081026344,0.035370725213017824,0.02038661487721158,0.010289074319348196,0.00727671767657013,0.0006078998494451611,0.00045339086750416943,0.007284048442158948,0.007916383378740273,0.010041306486471956,0.010761322581513277,7,True
transition_rms_deltaR_650_810,33.85797454825259,1.3853061372534987e-20,0.45229616153223795,0.025429902553900787,0.015731403815477458,0.007133713288173626,0.005064165757538311,0.0008390435427717493,0.0006248773105503459,0.005496724593806191,0.006305939116354897,0.00592520096954146,0.006107516109259965,8,True
rear_shift_explained_fraction,29.585313795880722,1.5934222948782097e-18,0.41914262620459297,0.8435722616446749,0.02448794219114284,0.4627834688549613,0.37995150582529236,0.3333333333333333,0.4714045207910317,0.34616800981153667,0.2906045837814854,0.6831539401648694,0.27457235606679736,9,True
rear_corr_before_shift,27.889905940956382,1.1311286830993721e-17,0.4048474963060641,0.8962262511682105,0.09298398947114733,0.9967883706112334,0.0022710801381705184,0.9999682089312586,2.6829185198158855e-05,0.9938141421513801,0.010276165005165578,0.9870880936519819,0.020824153630902977,10,True
front_rms_deltaR_500_650,25.068426248380327,3.276854500717728e-16,0.3794312604652798,0.0006223817300383836,0.0003692781788988992,0.002833628983519871,0.0020037178190745854,2.3725443965791804e-05,1.7530058961716135e-05,0.005817630231056642,0.005682244917635333,0.00011914792096121363,0.00012723429312132815,11,False
d_gap_rear_nm,23.089975992809997,3.770438703120941e-15,0.36027437419231323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5625,4.9714025938360695,12,False
d_gap_front_nm,23.08997599280999,3.7704387031209404e-15,0.3602743741923133,0.0,0.0,0.0,0.0,0.0,0.0,4.5625,4.9714025938360695,0.0,0.0,13,False
ncc_to_front_roughness_template,21.246763251292638,3.916845474223024e-14,0.34133121372943687,0.6785786325091738,0.10278663589356099,0.4345296589295215,0.32184811500069005,0.4325883255487452,0.3084484124190934,0.3763548288577625,0.14560830546029416,0.5888843116178478,0.2256342059900368,14,False
ncc_to_front_gap_template,18.161789596191777,2.2842272246101034e-12,0.3069851287487228,0.5941412087136798,0.08936204556073864,0.2895185790249948,0.23879898240966344,0.38493165364408255,0.3039022098058238,0.8622243970837864,0.3261269093068461,0.5327126159525724,0.2040595765802651,15,False
sim_to_rear_roughness_template,15.034987566099591,1.7233622671496276e-10,0.2683142839706019,0.02754942128586671,0.8349448502585609,0.004632783612993167,0.6370048163551366,0.0007324456114385924,0.8140811273565248,-0.2834018357752532,0.12087327354108392,-0.7268357661852933,0.2798979950341906,16,False
sim_to_front_roughness_template,14.627457870864205,3.0756902451151945e-10,0.2629539157590298,0.2453967993794704,0.14796883987366208,0.036874590601797326,0.06632185597456948,0.0032206084284049177,0.12965001719297659,0.13710077265213652,0.12339182698270211,0.009738108065337914,0.20425724689731817,17,False
sim_to_rear_gap_template,14.192975461737547,5.727036765603337e-10,0.2571518448317179,0.03825702559741671,0.9283296916123281,0.004773629934552104,0.600136657123352,-0.003798595005322314,0.6646548987196732,0.45717038541735516,0.17667879037046755,0.846780811954545,0.3226715099277531,18,False
ncc_to_rear_gap_template,12.940725548034738,3.5195675867594748e-09,0.23990640497616036,0.8143992449766774,0.19401306737099275,0.4465165609258323,0.33660119372271435,0.5109461050705376,0.36298252270759784,0.5530031316035371,0.21038814549880835,0.8641768737311126,0.3269696939375691,19,False
ncc_to_thickness_template,12.599349452613685,5.809841170866941e-09,0.23506534279399358,0.6958046180922396,0.11602110061457739,0.4435676298461213,0.31479290363411155,0.4511618658168493,0.3211950620071928,0.45668602207892967,0.17314188724230617,0.5357584404260223,0.20587628701664865,20,False
sim_to_thickness_template,12.42176793079538,7.548462221446746e-09,0.23252259166875597,0.2695043997983603,0.14906867169167023,0.03371191368269007,0.042542352983890086,0.004116928741024405,0.06903611800090598,0.20928576065822188,0.1445724848186512,0.05069609139916742,0.22013879188457428,21,False
rear_aligned_rms_residual,7.054296670182168,2.8935248957259278e-05,0.14679845838966113,0.0056761362936479706,0.003311447558839019,0.008290129077267483,0.005862021953172795,0.0006078998494451611,0.00045339086750416943,0.004796368411588985,0.005022174517383759,0.0023916096773488834,0.0021736242749538465,22,False
rear_corr_after_shift,6.744411849554817,4.7470600324082455e-05,0.14126075886755188,0.9996991697579385,0.00024907269639255243,0.9997467809474553,0.00018125758917047208,0.9999682089312586,2.6829185198158855e-05,0.9987829999479233,0.0019584381040199197,0.9998132056625283,0.00026521797270454597,23,False
rear_dom_freq_amplitude,5.646213186643,0.0002778276635245563,0.12104333451573251,1.3710618170474928e-05,1.6316549055491974e-05,4.4544032246083195e-06,3.400856528683391e-06,1.5523867446865712e-06,1.292426641566775e-06,5.950983341553981e-05,0.00010474147524419307,9.569441914557061e-06,1.685440344172466e-05,24,False
ncc_to_rear_roughness_template,5.284657220057588,0.0004987744200375218,0.11417730058865987,0.7842431830407537,0.14143008788170258,0.44672743743982246,0.3453798735572199,0.5080649898423714,0.4076234242188989,0.6331367787604771,0.23957027026861744,0.6288730817124915,0.23774466246715925,25,False
wavelet_energy_rear,4.630045239791836,0.0014425823364473,0.10146922308449058,0.31880682683973915,0.04689752510354102,0.28859331059155907,0.20415799758709524,0.23849997963133682,0.16865072759410973,0.24183503665519293,0.09299949107307867,0.2893012140121388,0.11039711209609833,26,False
