NKChart,,,,,
X of n [Wavelength (nm)],n - n,X of k [Wavelength (nm)],k - k,X of nodes [Wavelength (nm)],nodes - k
899.9343354,2.014083853,899.9343354,0.017995751,,
899.1541559,2.014214696,899.1541559,0.018027318,,
898.3739764,2.014345955,898.3739764,0.018059004,,
897.593797,2.014477632,897.593797,0.01809081,,
896.8136175,2.014609729,896.8136175,0.018122737,,
896.033438,2.014742249,896.033438,0.018154784,,
895.2532586,2.014875193,895.2532586,0.018186954,,
894.4730791,2.015008562,894.4730791,0.018219246,,
893.6928996,2.01514236,893.6928996,0.018251661,,
892.9127201,2.015276587,892.9127201,0.0182842,,
892.1325407,2.015411246,892.1325407,0.018316864,,
891.3523612,2.015546338,891.3523612,0.018349653,,
890.5721817,2.015681866,890.5721817,0.018382568,,
889.7920023,2.015817832,889.7920023,0.01841561,,
889.0118228,2.015954237,889.0118228,0.01844878,,
888.2316433,2.016091084,888.2316433,0.018482078,,
887.4514639,2.016228373,887.4514639,0.018515504,,
886.6712844,2.016366109,886.6712844,0.018549061,,
885.8911049,2.016504292,885.8911049,0.018582748,,
885.1109255,2.016642924,885.1109255,0.018616567,,
884.330746,2.016782008,884.330746,0.018650518,,
883.5505665,2.016921546,883.5505665,0.018684601,,
882.7703871,2.017061539,882.7703871,0.018718818,,
881.9902076,2.017201991,881.9902076,0.01875317,,
881.2100281,2.017342902,881.2100281,0.018787657,,
880.4298487,2.017484275,880.4298487,0.01882228,,
879.6496692,2.017626112,879.6496692,0.018857039,,
878.8694897,2.017768415,878.8694897,0.018891937,,
878.0893102,2.017911187,878.0893102,0.018926972,,
877.3091308,2.018054429,877.3091308,0.018962147,,
876.5289513,2.018198144,876.5289513,0.018997463,,
875.7487718,2.018342334,875.7487718,0.019032919,,
874.9685924,2.018487,874.9685924,0.019068517,,
874.1884129,2.018632146,874.1884129,0.019104257,,
873.4082334,2.018777774,873.4082334,0.019140142,,
872.628054,2.018923885,872.628054,0.01917617,,
871.8478745,2.019070483,871.8478745,0.019212344,,
871.067695,2.019217568,871.067695,0.019248664,,
870.2875156,2.019365144,870.2875156,0.019285131,,
869.5073361,2.019513213,869.5073361,0.019321746,,
868.7271566,2.019661777,868.7271566,0.019358509,,
867.9469772,2.019810838,867.9469772,0.019395422,,
867.1667977,2.019960399,867.1667977,0.019432486,,
866.3866182,2.020110463,866.3866182,0.019469702,,
865.6064388,2.02026103,865.6064388,0.01950707,,
864.8262593,2.020412105,864.8262593,0.019544592,,
864.0460798,2.020563688,864.0460798,0.019582267,,
863.2659003,2.020715784,863.2659003,0.019620098,,
862.4857209,2.020868393,862.4857209,0.019658086,,
861.7055414,2.021021519,861.7055414,0.019696231,,
860.9253619,2.021175164,860.9253619,0.019734533,,
860.1451825,2.02132933,860.1451825,0.019772996,,
859.365003,2.02148402,859.365003,0.019811618,,
858.5848235,2.021639236,858.5848235,0.019850401,,
857.8046441,2.021794981,857.8046441,0.019889347,,
857.0244646,2.021951258,857.0244646,0.019928456,,
856.2442851,2.022108068,856.2442851,0.019967729,,
855.4641057,2.022265415,855.4641057,0.020007167,,
854.6839262,2.022423301,854.6839262,0.020046772,,
853.9037467,2.022581729,853.9037467,0.020086544,,
853.1235673,2.022740701,853.1235673,0.020126485,,
852.3433878,2.02290022,852.3433878,0.020166595,,
851.5632083,2.023060288,851.5632083,0.020206876,,
850.7830289,2.023220909,850.7830289,0.020247328,,
850.0028494,2.023382084,850.0028494,0.020287953,,
849.2226699,2.023543817,849.2226699,0.020328752,,
848.4424904,2.02370611,848.4424904,0.020369726,,
847.662311,2.023868966,847.662311,0.020410876,,
846.8821315,2.024032387,846.8821315,0.020452203,,
846.101952,2.024196377,846.101952,0.020493708,,
845.3217726,2.024360939,845.3217726,0.020535393,,
844.5415931,2.024526074,844.5415931,0.020577259,,
843.7614136,2.024691786,843.7614136,0.020619307,,
842.9812342,2.024858078,842.9812342,0.020661538,,
842.2010547,2.025024952,842.2010547,0.020703952,,
841.4208752,2.025192411,841.4208752,0.020746553,,
840.6406958,2.025360459,840.6406958,0.02078934,,
839.8605163,2.025529098,839.8605163,0.020832314,,
839.0803368,2.025698331,839.0803368,0.020875478,,
838.3001574,2.02586816,838.3001574,0.020918832,,
837.5199779,2.02603859,837.5199779,0.020962378,,
836.7397984,2.026209623,836.7397984,0.021006117,,
835.959619,2.026381261,835.959619,0.02105005,,
835.1794395,2.026553509,835.1794395,0.021094178,,
834.39926,2.026726368,834.39926,0.021138503,,
833.6190805,2.026899842,833.6190805,0.021183026,,
832.8389011,2.027073935,832.8389011,0.021227748,,
832.0587216,2.027248648,832.0587216,0.021272671,,
831.2785421,2.027423986,831.2785421,0.021317796,,
830.4983627,2.027599951,830.4983627,0.021363124,,
829.7181832,2.027776547,829.7181832,0.021408657,,
828.9380037,2.027953776,828.9380037,0.021454396,,
828.1578243,2.028131643,828.1578243,0.021500343,,
827.3776448,2.028310149,827.3776448,0.021546498,,
826.5974653,2.028489299,826.5974653,0.021592864,,
825.8172859,2.028669096,825.8172859,0.021639442,,
825.0371064,2.028849542,825.0371064,0.021686233,,
824.2569269,2.029030642,824.2569269,0.021733238,,
823.4767475,2.029212398,823.4767475,0.02178046,,
822.696568,2.029394814,822.696568,0.021827899,,
821.9163885,2.029577893,821.9163885,0.021875557,,
821.1362091,2.029761639,821.1362091,0.021923436,,
820.3560296,2.029946055,820.3560296,0.021971537,,
819.5758501,2.030131144,819.5758501,0.022019862,,
818.7956706,2.03031691,818.7956706,0.022068412,,
818.0154912,2.030503357,818.0154912,0.022117189,,
817.2353117,2.030690488,817.2353117,0.022166194,,
816.4551322,2.030878306,816.4551322,0.022215429,,
815.6749528,2.031066815,815.6749528,0.022264895,,
814.8947733,2.031256018,814.8947733,0.022314595,,
814.1145938,2.03144592,814.1145938,0.022364529,,
813.3344144,2.031636524,813.3344144,0.0224147,,
812.5542349,2.031827833,812.5542349,0.022465109,,
811.7740554,2.032019851,811.7740554,0.022515758,,
810.993876,2.032212582,810.993876,0.022566648,,
810.2136965,2.032406029,810.2136965,0.022617782,,
809.433517,2.032600197,809.433517,0.02266916,,
808.6533376,2.032795088,808.6533376,0.022720785,,
