sep=,
NKChart
X of n [Wavelength (nm)],n - n,X of k [Wavelength (nm)],k - k,X of nodes [Wavelength (nm)],nodes - k
899.934335360487,1.95482155221872,899.934335360487,0.0508670241963421,,
899.154155892074,1.95495354382374,899.154155892074,0.0508514804882815,,
898.373976423666,1.95508587685187,898.373976423666,0.0508358863442489,,
897.593796955261,1.95521855248831,897.593796955261,0.0508202416739158,,
896.813617486854,1.95535157192342,896.813617486854,0.0508045463872798,,
896.033438018447,1.95548493635278,896.033438018447,0.0507888003946512,,
895.253258550037,1.95561864697719,895.253258550037,0.0507730036066804,,
894.473079081627,1.9557527050027,894.473079081627,0.050757155934354,,
893.692899613219,1.95588711164066,893.692899613219,0.0507412572890069,,
892.912720144812,1.95602186810773,892.912720144812,0.0507253075823243,,
892.132540676403,1.95615697562589,892.132540676403,0.0507093067263548,,
891.352361207997,1.95629243542253,891.352361207997,0.0506932546335163,,
890.572181739586,1.95642824873039,890.572181739586,0.050677151216598,,
889.792002271177,1.95656441678768,889.792002271177,0.0506609963887821,,
889.011822802769,1.95670094083804,889.011822802769,0.0506447900636347,,
888.231643334359,1.95683782213061,888.231643334359,0.0506285321551252,,
887.451463865952,1.95697506192001,887.451463865952,0.0506122225776329,,
886.671284397547,1.95711266146645,886.671284397547,0.0505958612459509,,
885.891104929135,1.95725062203569,885.891104929135,0.0505794480752947,,
885.11092546073,1.95738894489907,885.11092546073,0.0505629829813177,,
884.330745992323,1.95752763133361,884.330745992323,0.0505464658801127,,
883.550566523915,1.95766668262195,883.550566523915,0.0505298966882211,,
882.770387055503,1.95780610005245,882.770387055503,0.0505132753226435,,
881.990207587098,1.95794588491918,881.990207587098,0.0504966017008483,,
881.21002811869,1.95808603852195,881.21002811869,0.0504798757407805,,
880.429848650278,1.95822656216639,880.429848650278,0.0504630973608661,,
879.649669181871,1.95836745716392,879.649669181871,0.0504462664800342,,
878.869489713466,1.95850872483181,878.869489713466,0.0504293830177098,,
878.089310245057,1.95865036649321,878.089310245057,0.0504124468938301,,
877.309130776649,1.95879238347718,877.309130776649,0.0503954580288634,,
876.528951308238,1.95893477711873,876.528951308238,0.050378416343801,,
875.748771839831,1.95907754875883,875.748771839831,0.0503613217601815,,
874.968592371423,1.95922069974447,874.968592371423,0.0503441742000902,,
874.188412903015,1.95936423142867,874.188412903015,0.0503269735861758,,
873.408233434608,1.95950814517051,873.408233434608,0.0503097198416582,,
872.628053966197,1.95965244233521,872.628053966197,0.0502924128903405,,
871.847874497787,1.95979712429408,871.847874497787,0.0502750526566155,,
871.067695029379,1.95994219242464,871.067695029379,0.0502576390654792,,
870.287515560971,1.9600876481106,870.287515560971,0.05024017204254,,
869.507336092566,1.9602334927419,869.507336092566,0.0502226515140275,,
868.727156624158,1.96037972771475,868.727156624158,0.050205077406811,,
867.946977155752,1.96052635443169,867.946977155752,0.0501874496483972,,
867.166797687339,1.96067337430158,867.166797687339,0.050169768166955,,
866.38661821893,1.96082078873965,866.38661821893,0.050152032891318,,
865.606438750527,1.96096859916755,865.606438750527,0.0501342437509986,,
