Photon_Energy_eV,Epsilon1,Epsilon2
5.88683,1.860925,2.923028
5.842581,2.042951,2.815362
5.79899,1.983857,2.738496
5.756044,2.024741,2.72364
5.71373,2.099541,2.633741
5.672031,2.167094,2.726415
5.630938,2.162252,2.621247
5.590435,2.180194,2.586627
5.550508,2.177055,2.523266
5.511149,2.199319,2.463306
5.472343,2.210929,2.415901
5.434079,2.207015,2.360761
5.396346,2.162897,2.31213
5.359134,2.134875,2.258108
5.322429,2.126405,2.262169
5.286224,2.084432,2.220243
5.250508,2.060831,2.181831
5.215272,2.058733,2.176109
5.180504,1.968714,2.1715
5.146196,1.954271,2.173087
5.11234,1.949822,2.171222
5.078925,1.892742,2.171534
5.045945,1.869487,2.188229
5.013389,1.825942,2.184769
4.981251,1.801824,2.221948
4.949521,1.780201,2.235271
4.918193,1.754593,2.250666
4.887259,1.721325,2.279226
4.85671,1.727175,2.331413
4.826542,1.703984,2.353209
4.796745,1.700738,2.372444
4.767314,1.711095,2.422393
4.738242,1.705234,2.447143
4.709521,1.713562,2.449916
4.681147,1.719593,2.466935
4.653112,1.727208,2.495771
4.62541,1.73938,2.519917
4.598037,1.740199,2.522167
4.570985,1.754852,2.549949
4.544249,1.766435,2.546506
4.517825,1.77157,2.551247
4.491704,1.776198,2.563406
4.465886,1.776988,2.555344
4.440361,1.764849,2.55385
4.415126,1.773875,2.560348
4.390176,1.755253,2.563146
4.365508,1.749379,2.550018
4.341113,1.746929,2.555951
4.31699,1.738492,2.556518
4.293134,1.731806,2.562047
4.269539,1.711609,2.567473
4.246203,1.701213,2.576916
4.22312,1.66897,2.580983
4.200286,1.653592,2.58799
4.177698,1.623264,2.609636
4.155352,1.594422,2.62135
4.133243,1.573429,2.637176
4.111368,1.551945,2.648682
4.089723,1.526129,2.660852
4.068305,1.485596,2.694615
4.04711,1.472202,2.714725
4.026134,1.436932,2.752356
4.005375,1.420843,2.77005
3.984829,1.373988,2.797323
3.964492,1.347447,2.834026
3.944361,1.319925,2.865509
3.924434,1.28353,2.897906
3.904708,1.256357,2.946491
3.885178,1.221761,2.994924
3.865843,1.201399,3.053844
3.846699,1.161126,3.107994
3.827744,1.138572,3.172845
3.808975,1.11127,3.221451
3.790389,1.08586,3.29905
3.771983,1.067277,3.359679
3.753756,1.051788,3.434353
3.735703,1.034556,3.506361
3.717823,1.019398,3.573777
3.700114,1.028028,3.666449
3.682572,1.012632,3.74677
3.665196,1.016271,3.837395
3.647983,1.024354,3.908662
3.630931,1.038285,4.012939
3.614038,1.057831,4.084116
3.597301,1.063642,4.166883
