Photon_Energy_eV,Wavelength_nm,Epsilon1,Epsilon2,n,k
5.88683,210.612839847592,1.860925,2.923028,1.6318787094793326,0.8956021005178202
5.842581,212.20792386104702,2.042951,2.815362,1.661542020849457,0.8472136017844006
5.79899,213.8030905381799,1.983857,2.738496,1.6378998626039643,0.8359778465474339
5.756044,215.39828118061638,2.024741,2.72364,1.6459842211807376,0.8273590855100094
5.71373,216.9934498129943,2.099541,2.633741,1.653439610364164,0.7964430583043576
5.672031,218.58871786843196,2.167094,2.726415,1.6807522981488379,0.8110698414641001
5.630938,220.18391678260352,2.162252,2.621247,1.6673680181251254,0.7860433244208034
5.590435,221.7791610134095,2.180194,2.586627,1.6677942297289323,0.7754634696213112
5.550508,223.37450626140887,2.177055,2.523266,1.6597722072578696,0.7601241872126294
5.511149,224.9697810746906,2.199319,2.463306,1.658549494824745,0.7426085286228652
5.472343,226.56510821781453,2.210929,2.415901,1.6561703875351341,0.7293636627556078
5.434079,228.1604636222624,2.207015,2.360761,1.649052678635636,0.7157930824724182
5.396346,229.7558355227778,2.162897,2.31213,1.6323262461951058,0.7082315821942741
5.359134,231.35118173943772,2.134875,2.258108,1.619012824065337,0.6973718695846698
5.322429,232.94664597686509,2.126405,2.262169,1.6172631190416247,0.6993818672315179
5.286224,234.5420822121802,2.084432,2.220243,1.601532298845854,0.6931621053162712
5.250508,236.13752878769063,2.060831,2.181831,1.5909220439246532,0.6857127312843155
5.215272,237.73294738989645,2.058733,2.176109,1.5897119994975684,0.6844349796339726
5.180504,239.32844835174336,1.968714,2.1715,1.5652151476023781,0.6936746054771892
5.146196,240.9239725809122,1.954271,2.173087,1.5615460986093121,0.6958126314475496
5.11234,242.51946936236635,1.949822,2.171222,1.5601350079416083,0.6958442663448211
5.078925,244.11504087971372,1.892742,2.171534,1.5448903714859947,0.7028116816830345
5.045945,245.710562441723,1.869487,2.188229,1.5407082950795323,0.710137346241471
5.013389,247.30616036377785,1.825942,2.184769,1.5286056607703158,0.7146280613991125
4.981251,248.90172850153502,1.801824,2.221948,1.526847597599767,0.7276259934170717
4.949521,250.49736812915836,1.780201,2.235271,1.522784293362429,0.7339420986094964
4.918193,252.09299106399445,1.754593,2.250666,1.517955683369044,0.7413477299300115
4.887259,253.6886185078384,1.721325,2.279226,1.5128642834562303,0.7532817136752578
