wavelength_nm,n,k,region,quality_flag
400,1.515,0.0,aligned_derived,medium_confidence
401,1.515,0.0,aligned_derived,medium_confidence
402,1.515,0.0,aligned_derived,medium_confidence
403,1.515,0.0,aligned_derived,medium_confidence
404,1.515,0.0,aligned_derived,medium_confidence
405,1.515,0.0,aligned_derived,medium_confidence
406,1.515,0.0,aligned_derived,medium_confidence
407,1.515,0.0,aligned_derived,medium_confidence
408,1.515,0.0,aligned_derived,medium_confidence
409,1.515,0.0,aligned_derived,medium_confidence
410,1.515,0.0,aligned_derived,medium_confidence
411,1.515,0.0,aligned_derived,medium_confidence
412,1.515,0.0,aligned_derived,medium_confidence
413,1.515,0.0,aligned_derived,medium_confidence
414,1.515,0.0,aligned_derived,medium_confidence
415,1.515,0.0,aligned_derived,medium_confidence
416,1.515,0.0,aligned_derived,medium_confidence
417,1.515,0.0,aligned_derived,medium_confidence
418,1.515,0.0,aligned_derived,medium_confidence
419,1.515,0.0,aligned_derived,medium_confidence
420,1.515,0.0,aligned_derived,medium_confidence
421,1.515,0.0,aligned_derived,medium_confidence
422,1.515,0.0,aligned_derived,medium_confidence
423,1.515,0.0,aligned_derived,medium_confidence
424,1.515,0.0,aligned_derived,medium_confidence
425,1.515,0.0,aligned_derived,medium_confidence
426,1.515,0.0,aligned_derived,medium_confidence
427,1.515,0.0,aligned_derived,medium_confidence
428,1.515,0.0,aligned_derived,medium_confidence
429,1.515,0.0,aligned_derived,medium_confidence
430,1.515,0.0,aligned_derived,medium_confidence
431,1.515,0.0,aligned_derived,medium_confidence
432,1.515,0.0,aligned_derived,medium_confidence
433,1.515,0.0,aligned_derived,medium_confidence
434,1.515,0.0,aligned_derived,medium_confidence
435,1.515,0.0,aligned_derived,medium_confidence
436,1.515,0.0,aligned_derived,medium_confidence
437,1.515,0.0,aligned_derived,medium_confidence
438,1.515,0.0,aligned_derived,medium_confidence
439,1.515,0.0,aligned_derived,medium_confidence
440,1.515,0.0,aligned_derived,medium_confidence
441,1.515,0.0,aligned_derived,medium_confidence
442,1.515,0.0,aligned_derived,medium_confidence
443,1.515,0.0,aligned_derived,medium_confidence
444,1.515,0.0,aligned_derived,medium_confidence
445,1.515,0.0,aligned_derived,medium_confidence
446,1.515,0.0,aligned_derived,medium_confidence
447,1.515,0.0,aligned_derived,medium_confidence
448,1.515,0.0,aligned_derived,medium_confidence
449,1.515,0.0,aligned_derived,medium_confidence
450,1.515,0.0,aligned_derived,medium_confidence
451,1.515,0.0,aligned_derived,medium_confidence
452,1.515,0.0,aligned_derived,medium_confidence
453,1.515,0.0,aligned_derived,medium_confidence
454,1.515,0.0,aligned_derived,medium_confidence
455,1.515,0.0,aligned_derived,medium_confidence
456,1.515,0.0,aligned_derived,medium_confidence
457,1.515,0.0,aligned_derived,medium_confidence
458,1.515,0.0,aligned_derived,medium_confidence
459,1.515,0.0,aligned_derived,medium_confidence
460,1.515,0.0,aligned_derived,medium_confidence
461,1.515,0.0,aligned_derived,medium_confidence
462,1.515,0.0,aligned_derived,medium_confidence
463,1.515,0.0,aligned_derived,medium_confidence
464,1.515,0.0,aligned_derived,medium_confidence
465,1.515,0.0,aligned_derived,medium_confidence
466,1.515,0.0,aligned_derived,medium_confidence
467,1.515,0.0,aligned_derived,medium_confidence
468,1.515,0.0,aligned_derived,medium_confidence
469,1.515,0.0,aligned_derived,medium_confidence
470,1.515,0.0,aligned_derived,medium_confidence
471,1.515,0.0,aligned_derived,medium_confidence
472,1.515,0.0,aligned_derived,medium_confidence
473,1.515,0.0,aligned_derived,medium_confidence
474,1.515,0.0,aligned_derived,medium_confidence
475,1.515,0.0,aligned_derived,medium_confidence
