wavelength_nm,n,k,region,quality_flag
400,1.5,0.0,aligned_derived,medium_confidence
401,1.5,0.0,aligned_derived,medium_confidence
402,1.5,0.0,aligned_derived,medium_confidence
403,1.5,0.0,aligned_derived,medium_confidence
404,1.5,0.0,aligned_derived,medium_confidence
405,1.5,0.0,aligned_derived,medium_confidence
406,1.5,0.0,aligned_derived,medium_confidence
407,1.5,0.0,aligned_derived,medium_confidence
408,1.5,0.0,aligned_derived,medium_confidence
409,1.5,0.0,aligned_derived,medium_confidence
410,1.5,0.0,aligned_derived,medium_confidence
411,1.5,0.0,aligned_derived,medium_confidence
412,1.5,0.0,aligned_derived,medium_confidence
413,1.5,0.0,aligned_derived,medium_confidence
414,1.5,0.0,aligned_derived,medium_confidence
415,1.5,0.0,aligned_derived,medium_confidence
416,1.5,0.0,aligned_derived,medium_confidence
417,1.5,0.0,aligned_derived,medium_confidence
418,1.5,0.0,aligned_derived,medium_confidence
419,1.5,0.0,aligned_derived,medium_confidence
420,1.5,0.0,aligned_derived,medium_confidence
421,1.5,0.0,aligned_derived,medium_confidence
422,1.5,0.0,aligned_derived,medium_confidence
423,1.5,0.0,aligned_derived,medium_confidence
424,1.5,0.0,aligned_derived,medium_confidence
425,1.5,0.0,aligned_derived,medium_confidence
426,1.5,0.0,aligned_derived,medium_confidence
427,1.5,0.0,aligned_derived,medium_confidence
428,1.5,0.0,aligned_derived,medium_confidence
429,1.5,0.0,aligned_derived,medium_confidence
430,1.5,0.0,aligned_derived,medium_confidence
431,1.5,0.0,aligned_derived,medium_confidence
432,1.5,0.0,aligned_derived,medium_confidence
433,1.5,0.0,aligned_derived,medium_confidence
434,1.5,0.0,aligned_derived,medium_confidence
435,1.5,0.0,aligned_derived,medium_confidence
436,1.5,0.0,aligned_derived,medium_confidence
437,1.5,0.0,aligned_derived,medium_confidence
438,1.5,0.0,aligned_derived,medium_confidence
439,1.5,0.0,aligned_derived,medium_confidence
440,1.5,0.0,aligned_derived,medium_confidence
441,1.5,0.0,aligned_derived,medium_confidence
442,1.5,0.0,aligned_derived,medium_confidence
443,1.5,0.0,aligned_derived,medium_confidence
444,1.5,0.0,aligned_derived,medium_confidence
445,1.5,0.0,aligned_derived,medium_confidence
446,1.5,0.0,aligned_derived,medium_confidence
447,1.5,0.0,aligned_derived,medium_confidence
448,1.5,0.0,aligned_derived,medium_confidence
449,1.5,0.0,aligned_derived,medium_confidence
450,1.5,0.0,aligned_derived,medium_confidence
451,1.5,0.0,aligned_derived,medium_confidence
452,1.5,0.0,aligned_derived,medium_confidence
453,1.5,0.0,aligned_derived,medium_confidence
454,1.5,0.0,aligned_derived,medium_confidence
455,1.5,0.0,aligned_derived,medium_confidence
456,1.5,0.0,aligned_derived,medium_confidence
457,1.5,0.0,aligned_derived,medium_confidence
458,1.5,0.0,aligned_derived,medium_confidence
459,1.5,0.0,aligned_derived,medium_confidence
460,1.5,0.0,aligned_derived,medium_confidence
461,1.5,0.0,aligned_derived,medium_confidence
462,1.5,0.0,aligned_derived,medium_confidence
463,1.5,0.0,aligned_derived,medium_confidence
464,1.5,0.0,aligned_derived,medium_confidence
465,1.5,0.0,aligned_derived,medium_confidence
466,1.5,0.0,aligned_derived,medium_confidence
467,1.5,0.0,aligned_derived,medium_confidence
468,1.5,0.0,aligned_derived,medium_confidence
469,1.5,0.0,aligned_derived,medium_confidence
470,1.5,0.0,aligned_derived,medium_confidence
471,1.5,0.0,aligned_derived,medium_confidence
472,1.5,0.0,aligned_derived,medium_confidence
473,1.5,0.0,aligned_derived,medium_confidence
474,1.5,0.0,aligned_derived,medium_confidence
475,1.5,0.0,aligned_derived,medium_confidence
476,1.5,0.0,aligned_derived,medium_confidence
477,1.5,0.0,aligned_derived,medium_confidence
478,1.5,0.0,aligned_derived,medium_confidence
479,1.5,0.0,aligned_derived,medium_confidence
480,1.5,0.0,aligned_derived,medium_confidence
481,1.5,0.0,aligned_derived,medium_confidence
482,1.5,0.0,aligned_derived,medium_confidence
483,1.5,0.0,aligned_derived,medium_confidence
484,1.5,0.0,aligned_derived,medium_confidence
485,1.5,0.0,aligned_derived,medium_confidence
486,1.5,0.0,aligned_derived,medium_confidence
487,1.5,0.0,aligned_derived,medium_confidence
488,1.5,0.0,aligned_derived,medium_confidence
489,1.5,0.0,aligned_derived,medium_confidence
490,1.5,0.0,aligned_derived,medium_confidence
491,1.5,0.0,aligned_derived,medium_confidence
492,1.5,0.0,aligned_derived,medium_confidence
493,1.5,0.0,aligned_derived,medium_confidence
494,1.5,0.0,aligned_derived,medium_confidence
495,1.5,0.0,aligned_derived,medium_confidence
496,1.5,0.0,aligned_derived,medium_confidence
497,1.5,0.0,aligned_derived,medium_confidence
498,1.5,0.0,aligned_derived,medium_confidence
499,1.5,0.0,aligned_derived,medium_confidence
500,1.5,0.0,aligned_derived,medium_confidence
501,1.5,0.0,aligned_derived,medium_confidence
502,1.5,0.0,aligned_derived,medium_confidence
503,1.5,0.0,aligned_derived,medium_confidence
504,1.5,0.0,aligned_derived,medium_confidence
505,1.5,0.0,aligned_derived,medium_confidence
506,1.5,0.0,aligned_derived,medium_confidence
507,1.5,0.0,aligned_derived,medium_confidence
508,1.5,0.0,aligned_derived,medium_confidence
509,1.5,0.0,aligned_derived,medium_confidence
510,1.5,0.0,aligned_derived,medium_confidence
511,1.5,0.0,aligned_derived,medium_confidence
512,1.5,0.0,aligned_derived,medium_confidence
513,1.5,0.0,aligned_derived,medium_confidence
514,1.5,0.0,aligned_derived,medium_confidence
515,1.5,0.0,aligned_derived,medium_confidence
516,1.5,0.0,aligned_derived,medium_confidence
517,1.5,0.0,aligned_derived,medium_confidence
518,1.5,0.0,aligned_derived,medium_confidence
519,1.5,0.0,aligned_derived,medium_confidence
520,1.5,0.0,aligned_derived,medium_confidence
521,1.5,0.0,aligned_derived,medium_confidence
522,1.5,0.0,aligned_derived,medium_confidence
523,1.5,0.0,aligned_derived,medium_confidence
524,1.5,0.0,aligned_derived,medium_confidence
525,1.5,0.0,aligned_derived,medium_confidence
526,1.5,0.0,aligned_derived,medium_confidence
527,1.5,0.0,aligned_derived,medium_confidence
528,1.5,0.0,aligned_derived,medium_confidence
529,1.5,0.0,aligned_derived,medium_confidence
530,1.5,0.0,aligned_derived,medium_confidence
531,1.5,0.0,aligned_derived,medium_confidence
532,1.5,0.0,aligned_derived,medium_confidence
533,1.5,0.0,aligned_derived,medium_confidence
534,1.5,0.0,aligned_derived,medium_confidence
535,1.5,0.0,aligned_derived,medium_confidence
536,1.5,0.0,aligned_derived,medium_confidence
537,1.5,0.0,aligned_derived,medium_confidence
538,1.5,0.0,aligned_derived,medium_confidence
539,1.5,0.0,aligned_derived,medium_confidence
540,1.5,0.0,aligned_derived,medium_confidence
541,1.5,0.0,aligned_derived,medium_confidence
542,1.5,0.0,aligned_derived,medium_confidence
543,1.5,0.0,aligned_derived,medium_confidence
544,1.5,0.0,aligned_derived,medium_confidence
545,1.5,0.0,aligned_derived,medium_confidence
546,1.5,0.0,aligned_derived,medium_confidence
547,1.5,0.0,aligned_derived,medium_confidence
548,1.5,0.0,aligned_derived,medium_confidence
549,1.5,0.0,aligned_derived,medium_confidence
550,1.5,0.0,aligned_derived,medium_confidence
551,1.5,0.0,aligned_derived,medium_confidence
552,1.5,0.0,aligned_derived,medium_confidence
553,1.5,0.0,aligned_derived,medium_confidence
554,1.5,0.0,aligned_derived,medium_confidence
555,1.5,0.0,aligned_derived,medium_confidence
556,1.5,0.0,aligned_derived,medium_confidence
557,1.5,0.0,aligned_derived,medium_confidence
558,1.5,0.0,aligned_derived,medium_confidence
559,1.5,0.0,aligned_derived,medium_confidence
560,1.5,0.0,aligned_derived,medium_confidence
561,1.5,0.0,aligned_derived,medium_confidence
562,1.5,0.0,aligned_derived,medium_confidence
563,1.5,0.0,aligned_derived,medium_confidence
564,1.5,0.0,aligned_derived,medium_confidence
565,1.5,0.0,aligned_derived,medium_confidence
566,1.5,0.0,aligned_derived,medium_confidence
567,1.5,0.0,aligned_derived,medium_confidence
568,1.5,0.0,aligned_derived,medium_confidence
569,1.5,0.0,aligned_derived,medium_confidence
570,1.5,0.0,aligned_derived,medium_confidence
571,1.5,0.0,aligned_derived,medium_confidence
572,1.5,0.0,aligned_derived,medium_confidence
573,1.5,0.0,aligned_derived,medium_confidence
574,1.5,0.0,aligned_derived,medium_confidence
575,1.5,0.0,aligned_derived,medium_confidence
576,1.5,0.0,aligned_derived,medium_confidence
577,1.5,0.0,aligned_derived,medium_confidence
578,1.5,0.0,aligned_derived,medium_confidence
579,1.5,0.0,aligned_derived,medium_confidence
580,1.5,0.0,aligned_derived,medium_confidence
581,1.5,0.0,aligned_derived,medium_confidence
582,1.5,0.0,aligned_derived,medium_confidence
583,1.5,0.0,aligned_derived,medium_confidence
584,1.5,0.0,aligned_derived,medium_confidence
585,1.5,0.0,aligned_derived,medium_confidence
586,1.5,0.0,aligned_derived,medium_confidence
587,1.5,0.0,aligned_derived,medium_confidence
588,1.5,0.0,aligned_derived,medium_confidence
589,1.5,0.0,aligned_derived,medium_confidence
590,1.5,0.0,aligned_derived,medium_confidence
591,1.5,0.0,aligned_derived,medium_confidence
592,1.5,0.0,aligned_derived,medium_confidence
593,1.5,0.0,aligned_derived,medium_confidence
594,1.5,0.0,aligned_derived,medium_confidence
595,1.5,0.0,aligned_derived,medium_confidence
596,1.5,0.0,aligned_derived,medium_confidence
597,1.5,0.0,aligned_derived,medium_confidence
598,1.5,0.0,aligned_derived,medium_confidence
599,1.5,0.0,aligned_derived,medium_confidence
600,1.5,0.0,aligned_derived,medium_confidence
601,1.5,0.0,aligned_derived,medium_confidence
602,1.5,0.0,aligned_derived,medium_confidence
603,1.5,0.0,aligned_derived,medium_confidence
604,1.5,0.0,aligned_derived,medium_confidence
605,1.5,0.0,aligned_derived,medium_confidence
606,1.5,0.0,aligned_derived,medium_confidence
607,1.5,0.0,aligned_derived,medium_confidence
608,1.5,0.0,aligned_derived,medium_confidence
609,1.5,0.0,aligned_derived,medium_confidence
610,1.5,0.0,aligned_derived,medium_confidence
611,1.5,0.0,aligned_derived,medium_confidence
612,1.5,0.0,aligned_derived,medium_confidence
613,1.5,0.0,aligned_derived,medium_confidence
614,1.5,0.0,aligned_derived,medium_confidence
615,1.5,0.0,aligned_derived,medium_confidence
616,1.5,0.0,aligned_derived,medium_confidence
617,1.5,0.0,aligned_derived,medium_confidence
618,1.5,0.0,aligned_derived,medium_confidence
619,1.5,0.0,aligned_derived,medium_confidence
620,1.5,0.0,aligned_derived,medium_confidence
621,1.5,0.0,aligned_derived,medium_confidence
622,1.5,0.0,aligned_derived,medium_confidence
623,1.5,0.0,aligned_derived,medium_confidence
624,1.5,0.0,aligned_derived,medium_confidence
625,1.5,0.0,aligned_derived,medium_confidence
626,1.5,0.0,aligned_derived,medium_confidence
627,1.5,0.0,aligned_derived,medium_confidence
628,1.5,0.0,aligned_derived,medium_confidence
629,1.5,0.0,aligned_derived,medium_confidence
630,1.5,0.0,aligned_derived,medium_confidence
631,1.5,0.0,aligned_derived,medium_confidence
632,1.5,0.0,aligned_derived,medium_confidence
633,1.5,0.0,aligned_derived,medium_confidence
634,1.5,0.0,aligned_derived,medium_confidence
635,1.5,0.0,aligned_derived,medium_confidence
636,1.5,0.0,aligned_derived,medium_confidence
637,1.5,0.0,aligned_derived,medium_confidence
638,1.5,0.0,aligned_derived,medium_confidence
639,1.5,0.0,aligned_derived,medium_confidence
640,1.5,0.0,aligned_derived,medium_confidence
641,1.5,0.0,aligned_derived,medium_confidence
642,1.5,0.0,aligned_derived,medium_confidence
