wavelength_nm,n_si,k_si
400,5.613,0.296
410,5.33,0.227
420,5.119,0.176
430,4.949,0.138
440,4.812,0.107
450,4.691,0.086302
460,4.587,0.071381
470,4.497,0.062086
480,4.419,0.055004
490,4.35,0.049131
500,4.294,0.044165
510,4.241,0.039367
520,4.193,0.036415
530,4.151,0.033108
540,4.112,0.030295
550,4.077,0.027968
560,4.045,0.025758
570,4.015,0.024131
580,3.988,0.022524
590,3.963,0.021081
600,3.94,0.019934
610,3.918,0.018446
620,3.898,0.017367
630,3.879,0.016444
640,3.861,0.015432
650,3.844,0.014431
660,3.828,0.013498
670,3.813,0.012743
680,3.798,0.011905
690,3.784,0.011201
700,3.772,0.010528
710,3.759,0.010057
720,3.748,0.0096257
730,3.737,0.0089461
740,3.727,0.008362
750,3.717,0.0078185
760,3.708,0.007197
770,3.699,0.0067402
780,3.691,0.0063933
790,3.683,0.005834
800,3.675,0.0054113
810,3.668,0.0049955
820,3.661,0.0046134
830,3.654,0.0042734
840,3.647,0.0039439
850,3.641,0.003612
860,3.635,0.0032781
870,3.63,0.0029839
880,3.624,0.0026821
890,3.619,0.0024293
900,3.614,0.0021701
910,3.609,0.0019625
920,3.604,0.0017571
930,3.6,0.0015467
940,3.595,0.0013689
950,3.591,0.0011793
960,3.587,0.0010237
970,3.583,0.00087225
980,3.579,0.00074866
990,3.575,0.000644
1000,3.571,0.000545
