Wavelength_nm,n,k
250.0,1.637,3.5889
260.0,1.737,3.9932
270.0,2.03,4.5958
280.0,2.84,5.1961
290.0,4.185,5.3124
300.0,5.049,4.29
310.0,5.091,3.6239
320.0,5.085,3.2824
330.0,5.135,3.0935
340.0,5.245,2.9573
350.0,5.423,2.9078
360.0,5.914,2.9135
370.0,6.82,2.1403
380.0,6.587,0.98399
390.0,6.025,0.50308
400.0,5.623,0.32627
410.0,5.341,0.24127
420.0,5.11,0.17694
430.0,4.932,0.13766
440.0,4.79,0.11201
450.0,4.673,0.095362
460.0,4.572,0.079105
470.0,4.485,0.07024
480.0,4.412,0.059817
490.0,4.349,0.05381
500.0,4.289,0.048542
510.0,4.235,0.043831
520.0,4.187,0.039531
530.0,4.145,0.034804
540.0,4.103,0.029896
550.0,4.073,0.028038
560.0,4.038,0.026551
570.0,4.006,0.023746
580.0,3.977,0.021896
590.0,3.954,0.020076
600.0,3.931,0.018521
610.0,3.908,0.017257
620.0,3.888,0.016809
630.0,3.869,0.016268
640.0,3.851,0.014693
650.0,3.835,0.014447
660.0,3.817,0.013608
670.0,3.805,0.012807
680.0,3.791,0.012045
690.0,3.776,0.011317
700.0,3.765,0.010623
710.0,3.753,0.009961
720.0,3.741,0.0093335
730.0,3.73,0.0087312
740.0,3.719,0.0081618
750.0,3.712,0.0076156
760.0,3.701,0.0070942
770.0,3.693,0.0066054
780.0,3.684,0.0061338
790.0,3.677,0.0056888
800.0,3.669,0.0052655
810.0,3.662,0.004864
820.0,3.655,0.0044836
830.0,3.646,0.0041235
840.0,3.641,0.0037828
850.0,3.636,0.0034605
860.0,3.628,0.0031563
870.0,3.622,0.0028697
880.0,3.617,0.0026001
890.0,3.613,0.0023464
900.0,3.61,0.0021092
910.0,3.604,0.0018864
920.0,3.598,0.0016787
930.0,3.597,0.0014757
940.0,3.59,0.0013061
950.0,3.584,0.0011393
960.0,3.584,0.00098243
970.0,3.578,0.0008406
980.0,3.582,0.00071334
990.0,3.579,0.00059638
1000.0,3.575,0.0004902
1010.0,3.572,0.00039616
1020.0,3.568,0.00031437
1030.0,3.565,0.00024048
1040.0,3.562,0.00017959
1050.0,3.559,0.00013043
1060.0,3.556,9.245e-05
1070.0,3.553,6.782e-05
1080.0,3.549,5.2168e-05
1090.0,3.547,3.977e-05
1100.0,3.545,3.0217e-05
1110.0,3.542,2.2913e-05
1120.0,3.54,1.7068e-05
1130.0,3.537,1.2382e-05
1140.0,3.534,8.621e-06
1150.0,3.533,5.6876e-06
1160.0,3.53,3.4275e-06
1170.0,3.527,1.7653e-06
1180.0,3.526,5.5561e-07
1190.0,3.524,2.3153e-07
1200.0,3.522,1.3904e-07
1210.0,3.52,8.0863e-08
1220.0,3.518,4.794e-08
1230.0,3.517,2.7132e-08
1240.0,3.515,1.4318e-08
1250.0,3.513,5.8798e-09
1260.0,3.512,2.3352e-09
1270.0,3.509,1.2714e-09
1280.0,3.509,7.5284e-10
1290.0,3.506,4.4799e-10
1300.0,3.505,2.7228e-10
1310.0,3.503,1.5856e-10
1320.0,3.502,8.7196e-11
1330.0,3.501,4.2039e-11
1340.0,3.5,1.8128e-11
1350.0,3.499,1.0428e-11
1360.0,3.497,6.2911e-12
1370.0,3.496,3.903e-12
1380.0,3.496,2.6367e-12
1390.0,3.496,1.7377e-12
1400.0,3.493,1.0428e-12
1410.0,3.492,6.0422e-13
1420.0,3.492,4.2895e-13
1430.0,3.49,2.0381e-13
1440.0,3.488,1.3785e-13
1450.0,3.487,1.0901e-13
