sample_key,sample_id,source_filename,d_bulk_nm,d_rough_nm,d_total_nm,ito_alpha,sigma_thickness_nm,pvk_b_scale,niox_k,chisqr,success,nfev,error_message
bad-20-1,bad-20-1,bad-20-glass-700-1250nm-100ms-850lp-1 2026 四月 03 15_23_46-cor.csv,409.53408044072904,99.87051028935615,509.4045907300852,12.867018616605922,36.220712347906854,0.2757624031590633,0.02237679480455021,0.09268878637860867,True,51,
bad-20-2,bad-20-2,bad-20-glass-700-1250nm-100ms-850lp-2 2026 四月 03 15_24_25-cor.csv,432.02981735311033,99.94673229601008,531.9765496491204,9.175881872459508,47.33069856518898,0.10394157012741417,0.447814697746278,0.028301521835764877,True,80,
bad-20-2__152450,bad-20-2,bad-20-glass-700-1250nm-100ms-850lp-2 2026 四月 03 15_24_50-cor.csv,408.18704412714504,99.98319459433004,508.1702387214751,13.275539569453784,33.05191018108056,0.16560511235747294,0.026386361905171046,0.13654214105596207,True,44,
bad-20-3,bad-20-3,bad-20-glass-700-1250nm-100ms-850lp-3 2026 四月 03 15_25_09-cor.csv,404.4632618603154,99.96825199870014,504.4315138590156,14.24165160742369,29.942468342163963,0.6559506727285498,0.08821953861302198,0.20603084441454309,True,38,
bad-23-1,bad-23-1,bad-23-glass-700-1250nm-100ms-850lp 2026 四月 03 15_20_39-cor.csv,440.59018530258817,90.07620576851862,530.6663910711068,9.348063733604414,48.08944042151349,0.10000000004472202,0.0764199201595184,0.012288097435768693,True,600,
bad-23-2,bad-23-2,bad-23-glass-700-1250nm-100ms-850lp-2 2026 四月 03 15_21_14-cor.csv,426.58484210086107,99.99993134813094,526.584773448992,8.987077764002759,48.1734370692772,0.1000011103878942,0.22206479883895316,0.007386869388343547,True,127,
bad-23-3,bad-23-3,bad-23-glass-700-1250nm-100ms-850lp-3 2026 四月 03 15_21_55-cor.csv,409.29979780228393,99.87097391636954,509.17077171865344,11.352921274413543,45.422872807341406,0.5969587636984147,0.03956062087449805,0.03196683468463257,True,58,
good-21-1,good-21-1,good-21-glass-700-1250nm-100ms-850lp-1 2026 四月 03 15_31_36-cor.csv,444.3883793885731,50.9657640285883,495.3541434171614,13.461565638211182,26.071338089786003,1.6960302372473037,0.4840438349619979,0.002651747654055403,True,106,
good-21-2,good-21-2,good-21-glass-700-1250nm-100ms-850lp-2 2026 四月 03 15_32_40-cor.csv,445.6291862758985,47.41424183356107,493.04342810945957,13.277706323771117,24.094744976960527,1.699946495249984,0.47428454770389994,0.004653617118217021,True,100,
good-21-3,good-21-3,good-21-glass-700-1250nm-100ms-850lp-3 2026 四月 03 15_33_03-cor.csv,451.00499595573734,52.334588777165095,503.33958473290244,8.978071980623488,32.551586131529895,1.531031814186805,0.4844860311147252,0.044710088156390965,True,37,
good-22-1,good-22-1,good-22-glass-700-1250nm-100ms-850lp-1 2026 四月 03 15_36_52-cor.csv,429.971448954449,75.77268343269519,505.7441323871442,11.126800207200048,31.615779260227548,0.7427165196649969,0.4841390104271853,0.002281485448296463,True,137,
good-22-2,good-22-2,good-22-glass-700-1250nm-100ms-850lp-2 2026 四月 03 15_37_17-cor.csv,435.3102151136396,69.93580081172858,505.24601592536817,10.605473133564512,30.589317493040166,1.0182707397788133,0.4653328493510074,0.0023908019243121695,True,87,
good-22-3,good-22-3,good-22-glass-700-1250nm-100ms-850lp-3 2026 四月 03 15_37_39--cor.csv,436.0886216717946,68.30440197874388,504.3930236505385,11.364477973213104,30.230729829198058,1.308180102641431,0.4688942398359749,0.0010099501103279017,True,106,
