metric,value
transition_zone_nm,740-780
blend_method,smoothstep_blend_plus_cosine_tail_k_decay_plus_relaxed_n_target
delta_n_v1_749_750,+0.009820
delta_n_v2_749_750,+0.001408
delta_k_v1_749_750,-0.021517
delta_k_v2_749_750,-0.006187
delta_eps2_v1_749_750,-0.112429
delta_eps2_v2_749_750,-0.030895
delta_R_stack_v1_749_750,+0.113042
delta_R_stack_v2_749_750,+0.001713
delta_R_total_v1_749_750,+0.107011
delta_R_total_v2_749_750,+0.001580
max_abs_dn_v1_740_780,0.017367
max_abs_dn_v2_740_780,0.003422
max_abs_dk_v1_740_780,0.035862
max_abs_dk_v2_740_780,0.009411
fringe_rmse_810_1100,0.000000
fringe_correlation_810_1100,1.000000
