ensemble_id,d_BEMA_rear_nm,d_PVK_bulk_nm,d_C60_bulk_nm,rear_max_abs_deltaR_total,rear_max_abs_deltaR_stack,rear_mean_abs_deltaR_total,rear_mean_abs_deltaR_stack,rear_peak_wavelength_deltaR_total,transition_max_abs_deltaR_total,transition_max_abs_deltaR_stack,R_total_780nm
nominal,0.0,700.0,15.0,0.0,0.0,0.0,0.0,810.0,0.0,0.0,0.7130745311884239
nominal,10.0,695.0,10.0,0.0013733666886835971,0.0014168247614457785,0.00024916508036371875,0.0002573148574307391,810.0,0.0013833758112794525,0.0014254676570956137,0.7129966449974997
nominal,20.0,690.0,5.0,0.004163580112596765,0.004295863043380366,0.0007970449919926543,0.0008229950496089578,810.0,0.004190775360199517,0.004318826371873197,0.7129781899103544
nominal,30.0,685.0,0.0,0.008240977353156431,0.008504346753388403,0.0016223953524538935,0.0016751262260396233,810.0,0.008301658387142807,0.008556882299306956,0.712984297456097
more_absorptive,0.0,700.0,15.0,0.0,0.0,0.0,0.0,810.0,0.0,0.0,0.4309230487060184
more_absorptive,10.0,695.0,10.0,0.0007620424264326298,0.0007988336897928328,0.0002178135676808497,0.0002253289414576913,810.0,0.0007641077247083627,0.00080125384297286,0.4307809176962025
more_absorptive,20.0,690.0,5.0,0.002342318688947187,0.0024555792796863707,0.0007027661139783473,0.0007268086396909207,810.0,0.002354688649516712,0.0024693348544850835,0.4304555990599428
more_absorptive,30.0,685.0,0.0,0.004663613290012192,0.004889626528192914,0.001436954281530409,0.0014859009882111846,810.0,0.004699545218718515,0.004929610442711285,0.42992541725527045
less_absorptive,0.0,700.0,15.0,0.0,0.0,0.0,0.0,810.0,0.0,0.0,0.6148956784793825
less_absorptive,10.0,695.0,10.0,0.0011247508775303894,0.0011673948559317582,0.00023586561230605127,0.00024377816601940685,810.0,0.0011447917701965515,0.0011872267218494548,0.6146217837938406
less_absorptive,20.0,690.0,5.0,0.0034233557132147263,0.0035535135634425785,0.0007569671866456384,0.0007821984383292247,810.0,0.003486498970284968,0.0036161133618243246,0.6141168716060411
less_absorptive,30.0,685.0,0.0,0.006781523864821892,0.007040415433791858,0.001543351029992666,0.0015946429330414458,810.0,0.00691993491709364,0.007177350142630878,0.6133628433121361
