d_PVK_nm,front_rms_deltaR_500_650,transition_rms_deltaR_650_810,rear_rms_deltaR_810_1055,rear_peak_nm,rear_valley_nm,rear_peak_valley_spacing_nm
675.0,0.0010666953148025075,0.052686779154963656,0.06558862526191467,922.0,820.0,102.0
676.0,0.0010251513720216671,0.050371759133915374,0.06330288793542657,923.0,821.0,102.0
677.0,0.000984326478486571,0.04805806417500898,0.06099006830105119,924.0,822.0,102.0
678.0,0.0009441147546747141,0.045747836107666556,0.0586499038085925,925.0,823.0,102.0
679.0,0.0009044033817262291,0.043443138976497916,0.05628212828774733,926.0,824.0,102.0
680.0,0.0008650744358881533,0.041145986310565694,0.05388647590539136,927.0,825.0,102.0
681.0,0.0008260067632804815,0.0388583661466566,0.05146268587076367,928.0,826.0,102.0
682.0,0.0007870778490628568,0.03658226312297557,0.049010507905207334,929.0,827.0,102.0
683.0,0.0007481656372075203,0.03431967708979476,0.04652970847716487,930.0,828.0,102.0
684.0,0.0007091502612927543,0.032072637809390174,0.04402007778443035,931.0,829.0,102.0
685.0,0.0006699156525739983,0.029843215435803698,0.041481437444405266,932.0,830.0,102.0
686.0,0.0006303509985247145,0.027633526573766366,0.03891364882961639,933.0,831.0,102.0
687.0,0.0005903520324945816,0.02544573581498636,0.036316621960524785,934.0,832.0,102.0
688.0,0.0005498221425715846,0.023282052739408456,0.033690324841382895,935.0,833.0,102.0
689.0,0.0005086732947046926,0.021144724450201564,0.03103479309842962,936.0,834.0,102.0
690.0,0.0004668267713028465,0.01903602378573468,0.028350139754107825,937.0,835.0,102.0
691.0,0.0004242137316579101,0.01695823342143885,0.025636564947414547,938.0,836.0,102.0
692.0,0.0003807756045434015,0.014913626140884505,0.02289436539024243,939.0,837.0,102.0
693.0,0.00033646432621926625,0.012904441620015862,0.02012394333395732,940.0,838.0,102.0
694.0,0.00029124243890358566,0.010932860132198914,0.01732581481078474,941.0,839.0,102.0
695.0,0.00024508306568577,0.009000973644953187,0.014500616912001147,942.0,840.0,102.0
696.0,0.00019796977800997615,0.007110754841727977,0.011649113870418231,943.0,841.0,102.0
697.0,0.0001498963714198392,0.005264024663045698,0.008772201728855029,944.0,842.0,102.0
698.0,0.00010086656438527057,0.003462419019392163,0.0058709113994818915,945.0,843.0,102.0
699.0,5.089363387339194e-05,0.0017073553815112282,0.0029464099509097204,946.0,844.0,102.0
700.0,0.0,0.0,0.0,947.0,845.0,102.0
701.0,5.1783229296541934e-05,0.0016587634572481063,0.0029668828675896556,948.0,846.0,102.0
702.0,0.00010441674400583959,0.003268363036860175,0.00595267467178861,949.0,847.0,102.0
703.0,0.0001578535399966136,0.0048285645788773935,0.008955689575538906,950.0,848.0,102.0
704.0,0.00021203944217879284,0.006339493929029245,0.011974128296942345,951.0,849.0,102.0
705.0,0.0002669136370050517,0.00780165449950143,0.015006088252997377,952.0,850.0,102.0
706.0,0.0003224092094325469,0.009215939444782516,0.018049575241110494,953.0,851.0,102.0
707.0,0.00037845368033076346,0.010583637795304395,0.021102516420352168,954.0,852.0,102.0
708.0,0.00043496954106389513,0.011906433993963043,0.024162774318710386,955.0,853.0,102.0
709.0,0.0004918747826045719,0.01318640041017116,0.027228161566936117,956.0,854.0,102.0
710.0,0.0005490834170602212,0.01442598256299433,0.030296456044993963,957.0,856.0,101.0
711.0,0.0006065059899259818,0.015627976968129464,0.03336541612402338,958.0,857.0,101.0
712.0,0.0006640500817302637,0.0167955017304025,0.036432795694854914,959.0,858.0,101.0
713.0,0.0007216207980220913,0.01793196022954853,0.03949635869269693,960.0,859.0,101.0
714.0,0.0007791212468741969,0.019040998485326036,0.042553892855288385,961.0,860.0,101.0
715.0,0.0008364530032517315,0.020126457028954395,0.045603222486875865,962.0,861.0,101.0
716.0,0.000893516559732027,0.021192318339314054,0.0486422200408366,963.0,862.0,101.0
717.0,0.0009502117631636946,0.02224265111002414,0.05166881637752119,964.0,863.0,101.0
718.0,0.001006438236929692,0.023281552781961926,0.05468100959884121,965.0,864.0,101.0
719.0,0.0010620957885345667,0.024313091889779148,0.057676872405327456,966.0,865.0,101.0
720.0,0.0011170848022754108,0.025341251817300608,0.0606545579631217,967.0,866.0,101.0
721.0,0.0011713066167827523,0.02636987752614481,0.06361230430624307,968.0,867.0,101.0
722.0,0.00122466388723556,0.027402626710946253,0.0665484373324477,969.0,868.0,101.0
723.0,0.0012770609320655255,0.02844292664653811,0.06946137247839157,970.0,869.0,101.0
724.0,0.0013284040639726187,0.0294939377378901,0.07234961518129387,971.0,870.0,101.0
725.0,0.0013786019050779639,0.030558524479462643,0.07521176024986727,972.0,871.0,101.0
