d_BEMA_front_nm,d_PVK_bulk_nm,front_window_mean_deltaR_stack_400_650,front_window_mean_deltaR_total_400_650,transition_window_max_abs_deltaR_stack_650_810,transition_window_max_abs_deltaR_total_650_810,rear_window_max_abs_deltaR_stack_810_1100,rear_window_max_abs_deltaR_total_810_1100,rear_peak_nm,rear_valley_nm,rear_peak_valley_spacing_nm,rear_peak_valley_contrast_percent
0.0,700.0,0.0,0.0,0.0,0.0,0.0,0.0,947.0,845.0,102.0,26.353134495021845
1.0,699.0,-0.00030408898369487674,-0.00028061144356947,0.006317149566380409,0.006122091826524789,0.006478668491709416,0.006264005937643535,947.0,844.0,103.0,26.404762353237153
2.0,698.0,-0.0006262889948005144,-0.0005779424168972213,0.01272570943016782,0.012329367556909165,0.01300168663989032,0.012567364640527878,946.0,843.0,103.0,26.457616597522083
3.0,697.0,-0.0009657034103161099,-0.000891164361982576,0.01921763085002326,0.01861389395688151,0.019564783832941468,0.018916618696354415,946.0,842.0,104.0,26.50256281473975
4.0,696.0,-0.0013213874098122256,-0.0012194042539966092,0.025784592976714538,0.024967490396910597,0.026175454275137233,0.025301088131705063,945.0,842.0,103.0,26.548883310518978
5.0,695.0,-0.0016923518419688886,-0.001561748173079984,0.03241803730418291,0.03138176340881549,0.03281609353638715,0.03171084713500105,945.0,841.0,104.0,26.58820662232335
6.0,694.0,-0.002077567186243934,-0.0019172449650466112,0.03910920384563976,0.03784814275543469,0.03947787599224872,0.03815918065427337,944.0,840.0,104.0,26.62901120083434
7.0,693.0,-0.0024759675933378107,-0.002284909975796444,0.04584916873661149,0.044357918709567845,0.04619334682244103,0.04463769894884406,944.0,839.0,105.0,26.661884825394488
8.0,692.0,-0.002886454988234374,-0.00266372884431845,0.052628882946517797,0.05090228022133869,0.05292419938583359,0.05112708655571785,943.0,838.0,105.0,26.69656473307991
9.0,691.0,-0.0033079032197570685,-0.003052661339291526,0.059439211764725663,0.05747235364086156,0.05966127380939734,0.057635618272525946,942.0,837.0,105.0,26.723047662215148
10.0,690.0,-0.003739162240783914,-0.0034506452244640897,0.06627097471632182,0.06405924165583399,0.0664365025294339,0.06418090164289592,942.0,836.0,106.0,26.75124707575606
11.0,689.0,-0.00417906230351032,-0.003856600138210243,0.07311498555742413,0.07065406210166325,0.07322933819636479,0.07072247601157378,941.0,835.0,106.0,26.771537930677457
12.0,688.0,-0.004626418154435014,-0.0042694314729201845,0.07996209199971382,0.07724798630488006,0.08001335537724863,0.07725175018913788,941.0,835.0,106.0,26.792707269038186
13.0,687.0,-0.005080033214068818,-0.004688034240182618,0.08680321481906905,0.08383227662890369,0.08680321481906905,0.08383227662890369,940.0,834.0,106.0,26.809295986919313
14.0,686.0,-0.005538703726728098,-0.005111296908056323,0.09362938601359738,0.09039832290446703,0.09362938601359738,0.09039832290446703,940.0,1052.0,112.0,26.8252263917673
15.0,685.0,-0.006001222866173002,-0.005538105197104914,0.10043178569166866,0.09693767744482995,0.10043178569166866,0.09693767744482995,939.0,1051.0,112.0,26.835529515337242
16.0,684.0,-0.006466384783283995,-0.005967345822281724,0.10720177739043246,0.10348924524183933,0.10720177739043246,0.10344208836790947,939.0,1050.0,111.0,26.843175107961347
17.0,683.0,-0.006932988582437962,-0.006397910168199669,0.1140181318027953,0.11005217104571285,0.11393094154931538,0.10990353097316008,938.0,1050.0,112.0,26.847380227732042
18.0,682.0,-0.007399842213746323,-0.006828697885801979,0.12081054614026177,0.11657435693932117,0.12061110689055243,0.11631423694982446,938.0,1049.0,111.0,26.85005928159455
19.0,681.0,-0.007865766268850917,-0.00725862039896285,0.12755616585856167,0.12304785078375158,0.1272343794892924,0.12266672122441169,937.0,1048.0,111.0,26.850391196299682
20.0,680.0,-0.008329597668538196,-0.007686604310090538,0.13428678155555795,0.12957924519442998,0.13379316934866403,0.12895380628836584,937.0,1048.0,111.0,26.84323837980729
21.0,679.0,-0.008790193231027152,-0.008111594694377748,0.1410414236936215,0.13605770051306276,0.14028021432955096,0.1351686438810369,936.0,1047.0,111.0,26.83757239983183
22.0,678.0,-0.009246433110409994,-0.008532558272943703,0.1477354625744669,0.14247433119255792,0.14668860132020395,0.14130473393777576,935.0,1046.0,111.0,26.82708482007481
23.0,677.0,-0.009697224095375608,-0.00894848645573689,0.15436123220791276,0.1488739883388397,0.15301178456636205,0.1473559407474191,935.0,1045.0,110.0,26.814455315656673
24.0,676.0,-0.010141502759022267,-0.009358398245715431,0.161015590635452,0.15528318050860146,0.15924360111771052,0.15331650629711457,934.0,1045.0,111.0,26.79567101207261
25.0,675.0,-0.010578238451266462,-0.009761342996491042,0.16763195155593125,0.16161818731114053,0.16537828338061722,0.15918106081473493,934.0,1044.0,110.0,26.77726924542173
26.0,674.0,-0.01100643612607636,-0.010156403016310255,0.17416748213722544,0.1678722779464238,0.1714104687996778,0.16494463054963748,933.0,1043.0,110.0,26.75520668808543
27.0,673.0,-0.011425138996499586,-0.010542696011950514,0.18062522933244962,0.17414737860142304,0.17733520672102082,0.17060264286063886,932.0,1042.0,110.0,26.72540311789131
28.0,672.0,-0.011833431011212587,-0.010919377366826306,0.1871392336019711,0.18037746936026444,0.1831479625183971,0.1761509287056967,932.0,1042.0,110.0,26.699642751344044
29.0,671.0,-0.01223043914709057,-0.011285642248328863,0.1935608059204948,0.1865157577652995,0.18884461908825495,0.18158572265041117,931.0,1041.0,110.0,26.665802351798096
30.0,670.0,-0.012615335513079477,-0.011640727540159159,0.19988376359319227,0.19255648713848883,0.1944214758421966,0.1869036605320692,931.0,1040.0,109.0,26.62858030424804
