d_gap_rear_nm,rear_peak_nm,rear_valley_nm,rear_peak_valley_spacing_nm,rear_peak_valley_contrast_percent,rear_window_max_abs_deltaR_stack_810_1100,rear_window_max_abs_deltaR_total_810_1100,transition_window_max_abs_deltaR_stack_650_810,transition_window_max_abs_deltaR_total_650_810
0.0,947.0,845.0,102.0,26.353134495021756,0.0,0.0,0.0,0.0
0.5,947.0,846.0,101.0,26.360321753594206,0.0021147360223588985,0.0020489716739251485,0.002110850850209789,0.0020464160713964397
1.0,948.0,846.0,102.0,26.371636622993943,0.004211076301496752,0.004080488210135957,0.004200123596730498,0.0040722793806351465
1.5,948.0,846.0,102.0,26.380813918976465,0.006288302984906902,0.006093844205110388,0.006267160439320407,0.006076940715366241
2.0,949.0,847.0,102.0,26.387941877591746,0.008345737301819978,0.008088371731278854,0.008311345611167531,0.008059791299836472
2.5,949.0,847.0,102.0,26.40033485939125,0.010382739303818056,0.010063440130232415,0.010332104869836933,0.010020262348775177
3.0,949.0,847.0,102.0,26.408663151037114,0.012399350924339858,0.012018455723434407,0.012328904906137028,0.01195782454025518
3.5,950.0,848.0,102.0,26.41743359737375,0.014404263262904449,0.013955519963017582,0.014301252677262233,0.013871987413550002
4.0,950.0,848.0,102.0,26.429054142129583,0.016389883399686722,0.01588063991096189,0.016248694670503383,0.015762298697971855
4.5,950.0,848.0,102.0,26.436775015100412,0.018355660694860054,0.01778684619430726,0.018170816103797005,0.017628343578662387
5.0,951.0,849.0,102.0,26.446788358150197,0.020301078901645453,0.019673628385325714,0.02006724006924243,0.019469743905201065
5.5,951.0,849.0,102.0,26.45786686640411,0.022225655691591517,0.02154050872188673,0.02193762662563714,0.02128615734882522
6.0,951.0,849.0,102.0,26.46520429080075,0.024128942123627817,0.023387041628117444,0.023781671845904295,0.02307727651391045
6.5,952.0,850.0,102.0,26.47605932813899,0.02601052206145338,0.02521281318375168,0.02559910682511013,0.024842828009198903
7.0,952.0,850.0,102.0,26.48680907352925,0.02787735467905983,0.027017440546497795,0.02738969665460056,0.026582571484116024
7.5,952.0,850.0,102.0,26.49396982429879,0.029735038129992675,0.02881104175536031,0.029153239367540773,0.028296298635292816
8.0,953.0,851.0,102.0,26.505265200142723,0.031572337968780895,0.03059367186433959,0.03088956486096084,0.029983832188245962
8.5,953.0,851.0,102.0,26.515882792564007,0.03338889969482106,0.032356458595385496,0.032598533799124696,0.03164502485890297
9.0,953.0,851.0,102.0,26.523056981397154,0.03518439717287858,0.03409907600216888,0.03428003650283684,0.033279758299475604
9.5,954.0,852.0,102.0,26.534392284669217,0.03695853199095189,0.035821224961099296,0.03593399182903423,0.034887942032929664
10.0,954.0,852.0,102.0,26.54505823485235,0.03871103279036603,0.037522632547050905,0.037560346044751225,0.036469512380062574
10.5,954.0,852.0,102.0,26.552419932460325,0.04044165457153015,0.03920305138421598,0.039159071699293224,0.038024431382957524
11.0,955.0,853.0,102.0,26.56339722157518,0.042158146647358175,0.040862258975289834,0.04073016649819061,0.03955268572833692
11.5,955.0,853.0,102.0,26.574276582197175,0.04387238167477514,0.04251082808694984,0.04227365218226564,0.04105428567410785
