case_id,family,anchor_id,reference_case_id,d_PVK_nm,d_BEMA_front_nm,d_BEMA_rear_nm,d_gap_front_nm,d_gap_rear_nm,front_mean_deltaR_500_650,front_rms_deltaR_500_650,transition_mean_deltaR_650_810,transition_rms_deltaR_650_810,rear_mean_deltaR_810_1055,rear_rms_deltaR_810_1055,front_to_rear_rms_ratio,transition_to_rear_rms_ratio,front_plus_transition_to_rear_ratio,rear_best_shift_nm,rear_shift_aligned_rms_residual,rear_unaligned_rms_residual,rear_shift_explained_fraction,rear_peak_nm,rear_valley_nm,rear_peak_valley_spacing_nm,rear_peak_valley_contrast_percent
D1_0001,background_anchor,anchor_01_nominal,D1_0001,700.0,10.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,942.0,836.0,106.0,26.8269263548786
D1_0002,background_anchor,anchor_02_pvk690,D1_0002,690.0,10.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,932.0,826.0,106.0,26.801838028334245
D1_0003,background_anchor,anchor_03_pvk710,D1_0003,710.0,10.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,952.0,846.0,106.0,26.9018632665284
D1_0004,background_anchor,anchor_04_front5,D1_0004,700.0,5.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,944.0,840.0,104.0,26.66226805374814
D1_0005,background_anchor,anchor_05_front15,D1_0005,700.0,15.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,939.0,832.0,107.0,26.918211741961105
D1_0006,background_anchor,anchor_06_rear10,D1_0006,700.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,942.0,836.0,106.0,26.778713460517267
D1_0007,background_anchor,anchor_07_rear30,D1_0007,700.0,10.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,941.0,835.0,106.0,26.898151932896972
D1_0001,front_gap_on_background,anchor_01_nominal,D1_0001,700.0,10.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,942.0,836.0,106.0,26.8269263548786
D1_0056,front_gap_on_background,anchor_01_nominal,D1_0001,700.0,10.0,20.0,0.5,0.0,-0.0006380593627880927,0.0007828834264076875,0.0002700432272807212,0.0005399312441489627,-0.00023951153489843477,0.0007994807754020468,0.9792398397747429,0.6753523796459513,1.6545922194206943,0.0,0.0007994807754020468,0.0007994807754020468,0.0,942.0,836.0,106.0,26.771578262928852
D1_0057,front_gap_on_background,anchor_01_nominal,D1_0001,700.0,10.0,20.0,1.0,0.0,-0.0012633750348241166,0.0015507667484505976,0.0005406518196180543,0.0010873110516529637,-0.0004804223246337767,0.0015993437066735437,0.9696269425888568,0.6798482697096105,1.6494752122984675,0.0,0.0015993437066735437,0.0015993437066735437,0.0,942.0,836.0,106.0,26.71359621069851
D1_0058,front_gap_on_background,anchor_01_nominal,D1_0001,700.0,10.0,20.0,2.0,0.0,-0.0024753392093214955,0.0030410938140454746,0.0010832933985542538,0.0022040852672110664,-0.0009662811184404387,0.0031998885063067905,0.9503749296425982,0.6888006450433961,1.6391755746859942,-1.0,0.002041202972795596,0.0031998885063067905,0.36210184549477087,943.0,836.0,107.0,26.59941649543146
D1_0059,front_gap_on_background,anchor_01_nominal,D1_0001,700.0,10.0,20.0,3.0,0.0,-0.003635086169545317,0.0044701973760245045,0.0016273972257111902,0.0033496082803960827,-0.0014572553289549357,0.004800982503895741,0.9311005346087344,0.6976922489673841,1.6287927835761187,-1.0,0.0032076255247140005,0.004800982503895741,0.33188143841157847,944.0,836.0,108.0,26.480593922698258
D1_0060,front_gap_on_background,anchor_01_nominal,D1_0001,700.0,10.0,20.0,5.0,0.0,-0.00579522771155067,0.007142355402536926,0.002718009643974791,0.005723656492720539,-0.002453268380801632,0.008002239667161664,0.8925445499772525,0.7152568194387358,1.6078013694159883,-2.0,0.005154760974208741,0.008002239667161664,0.355835217562648,945.0,836.0,109.0,26.243346474389273
D1_0061,front_gap_on_background,anchor_01_nominal,D1_0001,700.0,10.0,20.0,10.0,0.0,-0.010245299115783202,0.012725396423473617,0.00543813078939529,0.01209843700306516,-0.005010545660655255,0.015970651753890786,0.7967988169533183,0.7575418454740099,1.5543406624273284,-5.0,0.01019180741622523,0.015970651753890786,0.36184148441266384,948.0,835.0,113.0,25.620784280248763
D1_0062,front_gap_on_background,anchor_01_nominal,D1_0001,700.0,10.0,20.0,15.0,0.0,-0.013324909336854937,0.01676171801788675,0.008113329961199726,0.01899139977505076,-0.0076330445837548225,0.02382973044438388,0.7033952002523428,0.7969624255454637,1.5003576257978066,-7.0,0.015248991954217308,0.02382973044438388,0.3600854197739721,951.0,835.0,116.0,24.960680589647634
D1_0002,front_gap_on_background,anchor_02_pvk690,D1_0002,690.0,10.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,932.0,826.0,106.0,26.801838028334245
D1_0070,front_gap_on_background,anchor_02_pvk690,D1_0002,690.0,10.0,20.0,0.5,0.0,-0.0006386838616202364,0.0007827545780905667,0.0003299132344206041,0.0004503172633401992,-0.00024293410096798643,0.0007825375185184048,1.0002773791249944,0.5754577290975066,1.5757351082225008,0.0,0.0007825375185184048,0.0007825375185184048,0.0,932.0,826.0,106.0,26.74756168379068
D1_0071,front_gap_on_background,anchor_02_pvk690,D1_0002,690.0,10.0,20.0,1.0,0.0,-0.0012646182415504796,0.0015505040545632071,0.0006617766756793764,0.0009059589902948385,-0.0004870446094944695,0.0015654764111469807,0.9904359104505421,0.578711364696366,1.569147275146908,-1.0,0.0015439443570496453,0.0015654764111469807,0.013754313986474864,932.0,826.0,106.0,26.6906239394157
