case_key,case_id,family,anchor_id,reference_case_id,d_PVK_nm,d_BEMA_front_nm,d_BEMA_rear_nm,d_gap_front_nm,d_gap_rear_nm,front_rms_deltaR_500_650,transition_rms_deltaR_650_810,rear_rms_deltaR_810_1055,front_plus_transition_to_rear_ratio,front_to_rear_ratio,transition_to_rear_ratio,rear_best_shift_nm,rear_shift_explained_fraction,rear_aligned_rms_residual,rear_unaligned_rms_residual,rear_corr_before_shift,rear_corr_after_shift,rear_phase_slope_error,rear_dom_freq,rear_dom_freq_amplitude,rear_dom_freq_bandwidth,rear_spectral_centroid,rear_spectral_entropy,rear_sideband_energy_fraction,rear_second_peak_to_first_peak_ratio,wavelet_energy_front,wavelet_energy_transition,wavelet_energy_rear,wavelet_entropy_front,wavelet_entropy_transition,wavelet_entropy_rear,transition_peak_scale,rear_peak_scale,sim_to_thickness_template,ncc_to_thickness_template,sim_to_front_roughness_template,ncc_to_front_roughness_template,sim_to_rear_roughness_template,ncc_to_rear_roughness_template,sim_to_front_gap_template,ncc_to_front_gap_template,sim_to_rear_gap_template,ncc_to_rear_gap_template
D1_0001|background_anchor|anchor_01_nominal|D1_0001,D1_0001,background_anchor,anchor_01_nominal,D1_0001,700.0,10.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D1_0002|background_anchor|anchor_02_pvk690|D1_0002,D1_0002,background_anchor,anchor_02_pvk690,D1_0002,690.0,10.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D1_0003|background_anchor|anchor_03_pvk710|D1_0003,D1_0003,background_anchor,anchor_03_pvk710,D1_0003,710.0,10.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.9999999999999999,0.9999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D1_0004|background_anchor|anchor_04_front5|D1_0004,D1_0004,background_anchor,anchor_04_front5,D1_0004,700.0,5.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D1_0005|background_anchor|anchor_05_front15|D1_0005,D1_0005,background_anchor,anchor_05_front15,D1_0005,700.0,15.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.9999999999999999,0.9999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D1_0006|background_anchor|anchor_06_rear10|D1_0006,D1_0006,background_anchor,anchor_06_rear10,D1_0006,700.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D1_0007|background_anchor|anchor_07_rear30|D1_0007,D1_0007,background_anchor,anchor_07_rear30,D1_0007,700.0,10.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D1_0001|front_gap_on_background|anchor_01_nominal|D1_0001,D1_0001,front_gap_on_background,anchor_01_nominal,D1_0001,700.0,10.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D1_0056|front_gap_on_background|anchor_01_nominal|D1_0001,D1_0056,front_gap_on_background,anchor_01_nominal,D1_0001,700.0,10.0,20.0,0.5,0.0,0.0007828834264076411,0.0005399312441489193,0.0007994807754020081,1.6545922194206621,0.9792398397747323,0.6753523796459298,0.0,0.0,0.000799480775402008,0.000799480775402008,0.9999677301697144,0.9999677301697144,0.0,3473.7804878048787,5.411097693601639e-09,3473.7804878048787,3610.604456534022,0.0345723497334601,0.002547753408733961,0.0,0.07169004474555252,0.6658597059837318,0.26890961695983406,0.6984735217511814,0.6023456477284092,0.452568269999778,64.0,64.0,0.1941701040592228,0.5114624218966956,0.11302606973682201,0.41129545144549795,-0.35321865715326195,0.7164423035185046,0.9861385005903264,0.9888011790036594,0.5376206714152234,0.642940494430631
D1_0057|front_gap_on_background|anchor_01_nominal|D1_0001,D1_0057,front_gap_on_background,anchor_01_nominal,D1_0001,700.0,10.0,20.0,1.0,0.0,0.001550766748450552,0.0010873110516529194,0.0015993437066735084,1.6494752122984475,0.9696269425888497,0.679848269709598,0.0,0.0,0.0015993437066735092,0.0015993437066735092,0.9998706132740727,0.9998706132740727,0.0,3473.7804878048787,2.1261742343826803e-08,3473.7804878048787,3610.604456534019,0.0345723497334599,0.002547753408733918,0.0,0.06858884942669582,0.6689770204112601,0.2689088688126143,0.6979666238344245,0.6020753602045805,0.4529876233064195,64.0,64.0,0.19901438826890225,0.5124751154542495,0.11763740169065501,0.4128324518932619,-0.35200751609740855,0.7176911825441796,0.9875285036694386,0.9897409538776367,0.5379447445344089,0.6425997518231494
D1_0058|front_gap_on_background|anchor_01_nominal|D1_0001,D1_0058,front_gap_on_background,anchor_01_nominal,D1_0001,700.0,10.0,20.0,2.0,0.0,0.0030410938140454334,0.002204085267211023,0.0031998885063067558,1.6391755746859855,0.9503749296425956,0.68880064504339,-1.0,0.3621018454947639,0.002041202972795597,0.003199888506306757,0.9994800448543963,0.9998865696818348,0.0,3484.65306122449,7.119105894824284e-06,3484.65306122449,3621.9305747390235,0.0346360950857663,0.002548141808867069,0.0,0.06267566390945419,0.6749337669568295,0.26889461403778236,0.6968775714439666,0.6014812679469941,0.4537714498076347,64.0,64.0,0.20873989136703056,0.5143400558256771,0.12690961777286996,0.41606036390131285,-0.34945959097403156,0.7200055046275827,0.9900898888664438,0.9917636207867151,0.538464493274814,0.6417664278629245
D1_0059|front_gap_on_background|anchor_01_nominal|D1_0001,D1_0059,front_gap_on_background,anchor_01_nominal,D1_0001,700.0,10.0,20.0,3.0,0.0,0.004470197376024461,0.0033496082803960393,0.004800982503895708,1.6287927835761118,0.9311005346087318,0.6976922489673799,-1.0,0.33188143841157813,0.0032076255247139797,0.004800982503895707,0.9988248370148375,0.9996777334290433,0.0,3484.65306122449,6.564253186130463e-06,3484.65306122449,3621.930574739026,0.03463609508576619,0.0025481418088670682,0.0,0.05713842005482749,0.6805274854739702,0.2688655709376786,0.6956760903743266,0.6008200282971321,0.45448431311303333,64.0,64.0,0.21850662805393145,0.5162257234236732,0.1362407402779709,0.41912654333366944,-0.3467428664080842,0.7221385247176693,0.992354978646014,0.9936190261715554,0.5388088309032667,0.6407399400169179
D1_0060|front_gap_on_background|anchor_01_nominal|D1_0001,D1_0060,front_gap_on_background,anchor_01_nominal,D1_0001,700.0,10.0,20.0,5.0,0.0,0.0071423554025368844,0.005723656492720494,0.008002239667161631,1.607801369415984,0.892544549977251,0.7152568194387331,-2.0,0.3558352175626468,0.005154760974208731,0.008002239667161633,0.9967077232456705,0.999256842032514,0.0,3495.614754098361,2.7698317119702766e-05,3495.614754098361,3633.3496909394257,0.03464113377426717,0.0025485333120243707,0.0,0.04714121426149476,0.6906669954413984,0.2687727022141916,0.6928653970687327,0.59931514264985,0.45570763663952657,64.0,64.0,0.2381242876612099,0.5196791071093771,0.15504421333062418,0.42580902455862135,-0.34079887390255215,0.7263733603322508,0.9959761643206763,0.996368873888991,0.5389528426461878,0.6389021995657078
